date,txt_pl_lem_tokenized
2018-12-02,"['pan', 'mówić', 'nadchodzić', 'dzień', 'wypełnić', 'pomyślny', 'zapowiedź', 'jaka', 'obwieścić', 'dom', 'izraelski', 'dom', 'judzki', 'ow', 'dzień', 'owo', 'czas', 'wzbudzić', 'dawid', 'potomek', 'sprawiedliwy', 'wymierzać', 'prawo', 'sprawiedliwość', 'ziemia', 'ow', 'dzień', 'juda', 'dostąpić', 'zbawienie', 'jerozolima', 'mieszkać', 'bezpiecznie', 'imię', 'nazywać', 'pan', 'sprawiedliwość', 'pan', 'wznosić', 'dusza', 'dać', 'poznać', 'droga', 'pan', 'nauczyć', 'chodzić', 'ścieżek', 'prowadzić', 'prawda', 'pouczenie', 'bóg', 'zbawca', 'mama', 'nadzieja', 'dobry', 'pan', 'prawy', 'wskazywać', 'droga', 'grzesznik', 'pomagać', 'pokorny', 'czynić', 'pokorny', 'uczyć', 'droga', 'wszystek', 'ścieżek', 'pan', 'pewne', 'pełny', 'łaska', 'strzec', 'prawy', 'przymierze', 'bóg', 'powierzać', 'swój', 'zamiar', 'boja', 'objawiać', 'przymierze', 'jezus', 'powiedzieć', 'uczeń', 'znak', 'słońce', 'księżyc', 'gwiazda', 'ziemia', 'trwoga', 'naród', 'bezradny', 'wobec', 'szum', 'morze', 'nawałnica', 'człowiek', 'mdleć', 'strach', 'oczekiwanie', 'wydarzenie', 'zagrażać', 'ziemia', 'moc', 'niebios', 'zostać', 'wstrząśnięty', 'ujrzeć', 'syn', 'człowieczy', 'przychodzić', 'obłok', 'wielki', 'moc', 'chwała', 'dziać', 'zacząć', 'nabrać', 'duch', 'podnieść', 'głowa', 'zbliżać', 'wacha', 'odkupienie', 'uważać', 'siebie', 'wacha', 'serce', 'ociężały', 'wskutek', 'obżarstwo', 'pijaństwo', 'troska', 'doczesny', 'dzienia', 'przypaść', 'znienacka', 'potrzask', 'przyjść', 'mieszkać', 'ziemia', 'czuwać', 'modlić', 'czas', 'mogel', 'uniknąć', 'nastąpić', 'stanąć', 'syn', 'człowieczy']"
2018-12-03,"['owo', 'dzień', 'odrośl', 'pan', 'stan', 'ozdoba', 'chwała', 'owoc', 'ziemia', 'przepych', 'krasa', 'ocalały', 'izrael', 'pozostać', 'żywy', 'syjon', 'ostać', 'jeruzalem', 'nazwać', 'święta', 'wpisać', 'księga', 'życie', 'jeruzalem', 'pan', 'obmyć', 'brud', 'córa', 'syjoński', 'krew', 'rozlany', 'oczyścić', 'wewnątrz', 'jeruzalem', 'tchnienie', 'sąd', 'tchnienie', 'pożoga', 'pan', 'przyjść', 'spocząć', 'przestrzeń', 'góra', 'syjon', 'zgromadzić', 'dna', 'obłok', 'dym', 'noc', 'olśniewający', 'płomień', 'ogień', 'chwała', 'pan', 'osłona', 'namiot', 'dzień', 'dać', 'cień', 'skwar', 'ucieczka', 'schronienie', 'nawałnica', 'ulewa', 'iść', 'radość', 'spotkanie', 'pan', 'ucieszyć', 'powiedzieć', 'pójść', 'dom', 'pan', 'stać', 'stop', 'bram', 'jeruzalem', 'wstępować', 'pokolenie', 'pańskie', 'zgodnie', 'prawo', 'wielbić', 'imię', 'pan', 'ustawić', 'tron', 'sędziowski', 'tron', 'dom', 'dawid', 'prosić', 'pokój', 'jeruzalem', 'żyć', 'pokój', 'miłować', 'pokój', 'panować', 'mur', 'pomyślność', 'pałac', 'wzgląd', 'bracia', 'przyjaciel', 'wołać', 'pokój', 'wzgląd', 'dom', 'pan', 'bóg', 'modlić', 'dobro', 'jezus', 'wejść', 'kafarnaum', 'zwrócić', 'setnik', 'prosić', 'mówić', 'pan', 'sługa', 'leż', 'dom', 'sparaliżować', 'cierpieć', 'rzec', 'jezus', 'przyjść', 'uzdrowić', 'setnik', 'odpowiedzieć', 'pan', 'godny', 'wejść', 'dach', 'powiedzieć', 'słowo', 'sługa', 'odzyskać', 'zdrowie', 'podlegać', 'władza', 'mama', 'siebie', 'żołnierz', 'mówić', 'temu', 'iść', 'id', 'drugi', 'chodzić', 'przychodzić', 'sługa', 'zrób', 'robić', 'jezus', 'usłyszeć', 'zdziwić', 'rzec', 'szla', 'zaprawdę', 'powiadać', 'nikt', 'izrael', 'znaleźć', 'wielki', 'wiara', 'powiadać', 'przyjść', 'wschód', 'zachód', 'zasiąść', 'stół', 'abraham', 'izaak', 'jakub', 'królestwo', 'niebieski']"
2018-12-04,"['wyrosnąć', 'różdżka', 'pień', 'jessego', 'wypuścić', 'odrośl', 'korzeń', 'spocząć', 'duch', 'pan', 'duch', 'mądrość', 'rozum', 'duch', 'rad', 'męstwo', 'duch', 'wiedza', 'bojaźń', 'pan', 'upodobać', 'siebie', 'bojaźń', 'pan', 'sądzić', 'pozór', 'ni', 'wyrokować', 'pogłoska', 'raczej', 'rozsądzić', 'biedny', 'sprawiedliwie', 'pokorny', 'kraj', 'wydać', 'słuszny', 'wyrok', 'rózga', 'usta', 'uderzyć', 'gwałtownik', 'tchnienie', 'warga', 'uśmiercić', 'bezbożny', 'sprawiedliwość', 'pas', 'biodro', 'wierność', 'przepasać', 'lędźwie', 'wilk', 'zamieszka', 'wraz', 'baranek', 'pantera', 'koźlę', 'razem', 'leżeć', 'cielę', 'lew', 'paść', 'społem', 'mały', 'chłopiec', 'poganiać', 'krowa', 'niedźwiedzica', 'przestawać', 'przyjaźnie', 'młoda', 'razem', 'legać', 'lew', 'wół', 'jadać', 'słoma', 'niemowla', 'igrać', 'nora', 'kobra', 'dziecko', 'włożyć', 'swój', 'ręka', 'kryjówka', 'żmija', 'zło', 'czynić', 'zgubnie', 'działać', 'święta', 'góra', 'kraj', 'napełnić', 'znajomość', 'pan', 'kształt', 'woda', 'przepełniać', 'mor', 'owo', 'dzień', 'stan', 'korzeń', 'jessego', 'stać', 'znak', 'naród', 'lud', 'przyjść', 'modlitwa', 'sławny', 'miejsce', 'spoczynek', 'pokój', 'zakwitnąć', 'pan', 'przybyć', 'bóg', 'przekazać', 'sąd', 'król', 'sprawiedliwość', 'syn', 'królewski', 'lud', 'rządzić', 'sprawiedliwie', 'ubogi', 'prawa', 'dzień', 'zakwitnąć', 'sprawiedliwość', 'wielki', 'pokój', 'księżyc', 'zgasnąć', 'panować', 'morze', 'morze', 'rzeka', 'kraniec', 'ziemia', 'wyzwolić', 'biedak', 'wzywać', 'ubogi', 'opieka', 'zmiłować', 'biedny', 'ubogi', 'nędzarz', 'ocalić', 'śmierć', 'imię', 'trwać', 'wiek', 'długo', 'świecić', 'słońce', 'trwać', 'imię', 'imienie', 'wzajemnie', 'błogosławić', 'wszystek', 'naród', 'ziemia', 'życzyć', 'szczęście', 'jezus', 'rozradować', 'duch', 'święta', 'rzec', 'wysławiać', 'ojciec', 'pan', 'niebo', 'ziemia', 'zakryć', 'rzecz', 'mądry', 'roztropny', 'objawić', 'prostaczek', 'ojciec', 'upodobanie', 'ojciec', 'przekazać', 'nikt', 'wiedzieć', 'kima', 'syn', 'ojciec', 'kima', 'ojciec', 'syn', 'syn', 'zechcieć', 'objawić', 'potem', 'zwrócić', 'uczeń', 'rzec', 'szczęśliwy', 'oko', 'widzieć', 'widzieć', 'powiadać', 'prorok', 'król', 'pragnąć', 'ujrzeć', 'widzieć', 'ujrzeć', 'usłyszeć', 'słyszeć', 'usłyszeć']"
2018-12-06,"['dzienia', 'śpiewać', 'pieśń', 'ziemia', 'judzki', 'miasto', 'mama', 'potężny', 'środek', 'ocalenie', 'sprawić', 'mur', 'przedmur', 'otworzyć', 'bram', 'wejść', 'naród', 'sprawiedliwy', 'dochowywać', 'wierność', 'charakter', 'stateczny', 'kształtować', 'pokój', 'pokój', 'zaufać', 'złożyć', 'nadzieja', 'pan', 'wiekuisty', 'skała', 'poniżyć', 'przebywać', 'szczyt', 'upokorzyć', 'miasto', 'niedostępny', 'upokorzyć', 'ziemia', 'sprawić', 'proch', 'runąć', 'podeptać', 'noga', 'noga', 'biedny', 'stop', 'ubogi', 'błogosławiony', 'iść', 'pan', 'wysławiać', 'pan', 'dobry', 'łaska', 'trwać', 'wiek', 'uciec', 'pan', 'pokładać', 'ufność', 'człowiek', 'uciec', 'pan', 'pokładać', 'ufność', 'książę', 'otworzyć', 'bram', 'sprawiedliwość', 'wejść', 'podziękować', 'brama', 'pan', 'wejść', 'sprawiedliwy', 'dziękować', 'wysłuchać', 'stać', 'zbawca', 'pan', 'wybawić', 'pan', 'dać', 'pomyślność', 'błogosławiony', 'przybywać', 'imię', 'pańskie', 'błogosławić', 'pańskie', 'dom', 'pan', 'bóg', 'dawać', 'światło', 'jezus', 'powiedzieć', 'uczeń', 'mówić', 'pan', 'pan', 'wejść', 'królestwo', 'niebieski', 'spełniać', 'wola', 'ojciec', 'niebo', 'słowo', 'słuchać', 'wypełniać', 'porównać', 'człowiek', 'roztropny', 'dom', 'swój', 'zbudować', 'skala', 'spaść', 'deszcz', 'wezbrały', 'potok', 'zerwać', 'wicher', 'uderzyć', 'dom', 'runąć', 'skala', 'utwierdzić', 'słowo', 'słuchać', 'wypełniać', 'porównać', 'człowiek', 'nierozsądny', 'dom', 'swój', 'zbudować', 'piasek', 'spaść', 'deszcz', 'wezbrały', 'potok', 'zerwać', 'wicher', 'rzucić', 'dom', 'runąć', 'upadek', 'wielki']"
2018-12-09,"['złoże', 'jeruzalem', 'szata', 'smutek', 'utrapienie', 'swój', 'przywdziać', 'wspaniały', 'szata', 'chwała', 'dana', 'pan', 'oblec', 'płaszcz', 'sprawiedliwość', 'pochodzić', 'bóg', 'włożyć', 'głowa', 'swój', 'korona', 'chwała', 'przedwieczny', 'bóg', 'chcieć', 'pokazać', 'wspaniałość', 'niebo', 'imię', 'bóg', 'wiek', 'nazwać', 'pokój', 'sprawiedliwość', 'chwała', 'pobożność', 'podnieść', 'jeruzalem', 'stań', 'miejsce', 'wysoki', 'spojrzeć', 'wschód', 'zobaczyć', 'dziecko', 'zgromadzić', 'słowo', 'święty', 'wschód', 'słońce', 'zachód', 'rozradowany', 'bóg', 'pamiętać', 'wyjść', 'pieszo', 'pędzić', 'wróg', 'bóg', 'przyprowadzić', 'nieść', 'chwała', 'tron', 'królewski', 'postanowić', 'bóg', 'zniżyć', 'góra', 'wysoki', 'pagórek', 'odwieczny', 'doły', 'zasypać', 'zrównać', 'ziemia', 'bezpiecznie', 'móc', 'kroczyć', 'izrael', 'chwała', 'pan', 'rozkaz', 'pan', 'las', 'drzewo', 'pachnący', 'ocieniać', 'izrael', 'radość', 'poprowadzić', 'bóg', 'izrael', 'światła', 'swój', 'chwała', 'właściwy', 'siebie', 'sprawiedliwość', 'miłosierdzie', 'pan', 'bóg', 'uczynić', 'wielki', 'rzecz', 'pan', 'odmienić', 'los', 'syjon', 'wydawać', 'śnić', 'usta', 'pełny', 'śmiech', 'język', 'śpiewać', 'radość', 'mówić', 'pogan', 'wielki', 'rzecz', 'pan', 'uczynić', 'odmienić', 'los', 'pan', 'odmieniać', 'strumień', 'południe', 'łza', 'sieja', 'żąć', 'radość', 'ida', 'płakać', 'nieść', 'ziarno', 'zasiew', 'powrócić', 'radość', 'nieść', 'snop', 'piętnasta', 'rok', 'rząd', 'tyberiusz', 'cezar', 'poncjusz', 'piłat', 'namiestnik', 'judea', 'herod', 'tetrarcha', 'galilea', 'brat', 'filip', 'tetrarcha', 'iturei', 'kraj', 'trachonu', 'lizaniasz', 'tetrarcha', 'abileny', 'najwyższy', 'kapłan', 'annasz', 'kajfasz', 'skierować', 'zostać', 'słowo', 'bóg', 'jan', 'syn', 'zachariasz', 'pustynia', 'obchodzić', 'okolica', 'jordan', 'głosić', 'chrzest', 'nawrócenie', 'odpuścić', 'grzech', 'napisać', 'księga', 'mowa', 'prorok', 'izajasz', 'głos', 'wołający', 'pustynia', 'przygotować', 'droga', 'prostować', 'ścieżek', 'dolina', 'wypełnić', 'góra', 'pagórek', 'zrównać', 'droga', 'kręty', 'stanąć', 'prosta', 'wyboisty', 'droga', 'gładki', 'człowiek', 'ujrzeć', 'zbawienie', 'bóg']"
2018-12-10,"['rozweselić', 'pustynia', 'spiec', 'ziemia', 'radować', 'step', 'rozkwitnąć', 'wydać', 'kwiat', 'lilia', 'polny', 'rozradować', 'skakać', 'wykrzykiwać', 'uciecha', 'chwała', 'liban', 'obdarzyć', 'ozdoba', 'karmel', 'saron', 'zobaczyć', 'chwała', 'pan', 'wspaniałość', 'bóg', 'pokrzepić', 'ręka', 'osłabły', 'wzmocnić', 'kolano', 'omdlały', 'powiedzieć', 'małoduszny', 'odwaga', 'bać', 'bóg', 'pomsta', 'przychodzić', 'boży', 'odpłata', 'przychodzić', 'zbawić', 'przejrzeć', 'oko', 'niewidoma', 'ucho', 'głuchy', 'otworzyć', 'chrom', 'wyskoczyć', 'jeleń', 'język', 'niema', 'wesoło', 'krzyknąć', 'trysnąć', 'zdrój', 'woda', 'pustynia', 'strumień', 'step', 'spiec', 'ziemia', 'zmienić', 'staw', 'spragniony', 'kraj', 'krynica', 'woda', 'badyl', 'kryjówka', 'legać', 'szakal', 'trzcina', 'sitowie', 'droga', 'czysta', 'nazwa', 'droga', 'święta', 'przejść', 'nieczysty', 'odbywać', 'podróż', 'głupi', 'wałęsać', 'lew', 'ni', 'zwierz', 'dziki', 'wstąpić', 'znajda', 'tamtędy', 'pójść', 'wyzwolony', 'odkupić', 'pan', 'powrócić', 'przybyć', 'syjon', 'radosny', 'śpiew', 'szczęście', 'wieczny', 'twarz', 'osiągnąć', 'radość', 'szczęście', 'ustąpić', 'smutek', 'wzdychać', 'bóg', 'przyjść', 'ażeby', 'zbawić', 'słuchać', 'mówić', 'pan', 'bóg', 'ogłaszać', 'pokój', 'lud', 'święta', 'zaprawdę', 'bliski', 'zbawienie', 'boja', 'chwała', 'zamieszka', 'ziemia', 'spotkać', 'siebie', 'łaska', 'wierność', 'ucałować', 'sprawiedliwość', 'pokój', 'wierność', 'ziemia', 'wyrosnąć', 'sprawiedliwość', 'spojrzeć', 'niebo', 'pan', 'obdarzyć', 'szczęście', 'ziemia', 'wydać', 'swój', 'owoc', 'kroczyć', 'sprawiedliwość', 'ślad', 'krok', 'zbawienie', 'pewne', 'dzień', 'jezus', 'nauczać', 'siedzieć', 'faryzeusz', 'uczony', 'przyszły', 'miejscowość', 'galilea', 'judea', 'jerozolima', 'moc', 'pański', 'móc', 'uzdrawiać', 'wtem', 'człowiek', 'nieść', 'łoże', 'człowiek', 'sparaliżować', 'starać', 'wnieść', 'położyć', 'móc', 'powód', 'tłum', 'przynieść', 'wyjść', 'płask', 'dach', 'powała', 'spuścić', 'wraz', 'łoże', 'środek', 'jezus', 'widzieć', 'wiara', 'rzec', 'człowiek', 'odpuszczać', 'grzech', 'uczony', 'pismo', 'faryzeusz', 'począć', 'zastanawiać', 'mówić', 'któż', 'śmieć', 'mówić', 'bluźnierstwo', 'któż', 'odpuszczać', 'grzech', 'prócz', 'bóg', 'jezus', 'przejrzeć', 'myśl', 'rzec', 'myśl', 'nurtować', 'serce', 'wasi', 'łatwie', 'powiedzieć', 'odpuszczać', 'grzech', 'powiedzieć', 'wstać', 'chodzić', 'wiedzieć', 'syn', 'człowieczy', 'ziemia', 'władza', 'odpuszczanie', 'grzech', 'rzec', 'sparaliżować', 'mówić', 'wstać', 'wziąć', 'łoże', 'iść', 'dom', 'wstać', 'wobec', 'wziąć', 'łoże', 'leżeć', 'pójść', 'dom', 'wielbić', 'bóg']"
2018-12-11,"['pocieszyć', 'pocieszyć', 'lud', 'mówić', 'bóg', 'przemawiać', 'serce', 'jeruzalem', 'wołać', 'czas', 'służba', 'skończyć', 'nieprawość', 'odpokutować', 'odebrać', 'ręka', 'pan', 'kara', 'dwójnasób', 'wszystek', 'swój', 'grzech', 'głos', 'rozlegać', 'przygotować', 'pustynia', 'droga', 'pan', 'wyrównać', 'pustkowie', 'gościniec', 'bóg', 'podnieść', 'wszystek', 'dolina', 'wszystek', 'góra', 'wzgórze', 'obniżyć', 'równina', 'niechaj', 'stanąć', 'urwisek', 'stromy', 'zbocze', 'nizina', 'gładki', 'chwała', 'pan', 'objawić', 'zobaczyć', 'wszelki', 'ciało', 'powiedzieć', 'usta', 'pan', 'głos', 'odzywać', 'wołać', 'rzec', 'mama', 'wołać', 'wszelki', 'ciało', 'trawa', 'wdzięk', 'niby', 'kwiat', 'polny', 'trawa', 'usychać', 'więdnąć', 'kwiat', 'wiatr', 'pan', 'powiać', 'prawdziwie', 'trawa', 'naród', 'trawa', 'usychać', 'więdnąć', 'kwiat', 'słowo', 'bóg', 'trwać', 'wiek', 'wstąpić', 'że', 'wysoki', 'góra', 'zwiastunka', 'dobry', 'nowina', 'syjon', 'podnieść', 'mocno', 'głos', 'zwiastunka', 'dobry', 'nowina', 'jeruzalem', 'podnieść', 'głos', 'bój', 'powiedzieć', 'miasto', 'judzki', 'bóg', 'pan', 'bóg', 'przychodzić', 'moc', 'ramia', 'dzierżeć', 'władza', 'nagroda', 'id', 'zapłata', 'podobnie', 'pasterz', 'pas', 'swój', 'trzoda', 'gromadzić', 'ramię', 'jagnię', 'nosić', 'swój', 'pierś', 'owca', 'karmić', 'prowadzić', 'łagodnie', 'pan', 'bóg', 'przyjść', 'wielki', 'moc', 'śpiewać', 'pieśń', 'nowa', 'śpiewać', 'ziemia', 'śpiewać', 'sławić', 'imię', 'dzień', 'głosić', 'zbawienie', 'głosić', 'chwała', 'wśród', 'naród', 'rozgłaszać', 'cud', 'pośród', 'lud', 'głosić', 'wśród', 'lud', 'pan', 'król', 'sprawiedliwie', 'sądzić', 'wszystek', 'lud', 'radować', 'niebiosa', 'ziemia', 'wesoły', 'szumieć', 'mor', 'napełniać', 'ciesać', 'pole', 'rośnie', 'wszystek', 'drzewo', 'las', 'wykrzykiwać', 'radość', 'oblicze', 'pan', 'zbliżać', 'zbliżać', 'sądzić', 'ziemia', 'sądzić', 'świat', 'sprawiedliwie', 'lud', 'swój', 'prawda', 'jezus', 'powiedzieć', 'uczeń', 'zdawać', 'posiadać', 'sto', 'owca', 'zabłąkać', 'zostawić', 'dziewięćdziesiąt', 'dziewięć', 'góra', 'pójść', 'szukać', 'zabłąkać', 'udo', 'odnaleźć', 'zaprawdę', 'powiadać', 'cieszyć', 'dziewięćdziesiąt', 'dziewięć', 'zabłąkać', 'wola', 'ojciec', 'niebo', 'zginąć', 'mała']"
2018-12-12,"['któż', 'mogel', 'porównać', 'dorównać', 'mówić', 'święty', 'podnieść', 'oko', 'góra', 'patrzeć', 'stworzyć', 'gwiazda', 'szyk', 'prowadzić', 'wojsko', 'wszystek', 'wół', 'imienie', 'spod', 'potęga', 'olbrzymio', 'siła', 'nikt', 'uchyl', 'mówić', 'jakub', 'izrael', 'powtarzać', 'zakryty', 'droga', 'pan', 'prawo', 'bóg', 'przeoczyć', 'wiedzieć', 'słyszeć', 'pan', 'bóg', 'wieczny', 'stwórca', 'kraniec', 'ziemia', 'męczyć', 'nuża', 'mądrość', 'niezgłębiony', 'dodawać', 'moc', 'zmęczony', 'pomnażać', 'siła', 'omdlały', 'chłopiec', 'męczyć', 'nuża', 'chwiać', 'słabnąć', 'młodzieniec', 'zaufały', 'odzyskiwać', 'siła', 'otrzymywać', 'skrzydło', 'orzeł', 'biec', 'zmęczenie', 'znużenie', 'iść', 'chwalić', 'błogosławić', 'dusza', 'pan', 'błogosławić', 'dusza', 'pan', 'święta', 'imię', 'błogosławić', 'dusza', 'pan', 'zapominać', 'dobrodziejstwo', 'odpuszczać', 'wszystek', 'wina', 'uleczyć', 'wszystek', 'choroba', 'życie', 'ratować', 'zguba', 'obdarzać', 'łaska', 'zmiłowanie', 'miłosierny', 'pan', 'łaskawy', 'nieskory', 'gniew', 'cierpliwy', 'postępować', 'grzech', 'wina', 'odpłacać', 'jezus', 'przemówić', 'słowo', 'przyjść', 'utrudzić', 'obciążyć', 'pokrzepić', 'wziąć', 'jarzmo', 'siebie', 'uczta', 'łagodny', 'pokorny', 'serce', 'znajść', 'ukojenie', 'dusz', 'wasi', 'jarzmo', 'słodki', 'brzemię', 'lekki']"
2018-12-13,"['bóg', 'ująć', 'prawica', 'mówić', 'lękać', 'przychodzić', 'pomoc', 'bój', 'robaczek', 'jakub', 'nieborak', 'izrael', 'wspomagać', 'mówić', 'pan', 'odkupiciel', 'święty', 'izrael', 'przemieniać', 'młocarskie', 'san', 'nowa', 'podwójny', 'rząd', 'ząb', 'zmłócić', 'wykruszyć', 'góra', 'zmienić', 'pagórek', 'drobny', 'sieczka', 'przewiać', 'wicher', 'porwać', 'trąba', 'powietrzny', 'rozmieść', 'rozradować', 'chlubić', 'święta', 'izrael', 'nędzny', 'biedny', 'szukać', 'woda', 'język', 'wyschnąć', 'pragnienie', 'pan', 'wysłuchać', 'opuścić', 'bóg', 'izrael', 'kazać', 'wytrysnąć', 'strumień', 'nagi', 'wzgórze', 'źródło', 'woda', 'pośrodku', 'nizina', 'zamienić', 'pustynia', 'pojezierze', 'wyschnąć', 'ziemia', 'wodotrysk', 'pustynia', 'zasadzić', 'cedr', 'akacja', 'mirt', 'oliwka', 'rozkrzewić', 'pustkowie', 'cyprys', 'wiąz', 'bukszpan', 'siebie', 'ażeby', 'widzieć', 'poznać', 'rozważyć', 'pojąć', 'ręka', 'pan', 'uczynić', 'święty', 'izrael', 'dokonać', 'pan', 'łagodny', 'łaskawy', 'wielbić', 'bóg', 'król', 'sławić', 'imię', 'wszystek', 'wiek', 'pan', 'dobry', 'miłosierdzie', 'stworzyć', 'wielbić', 'pan', 'wszystek', 'dzieło', 'błogosławić', 'święty', 'mówić', 'chwała', 'królestwo', 'głosić', 'potęga', 'syn', 'ludzki', 'oznajmić', 'potęga', 'wspaniałość', 'chwała', 'królestwo', 'królestwo', 'królestwo', 'wiek', 'wszystek', 'pokolenie', 'panowanie', 'jezus', 'powiedzieć', 'tłum', 'zaprawdę', 'powiadać', 'narodzić', 'niewiasta', 'powstać', 'duży', 'jan', 'chrzciciel', 'mały', 'królestwo', 'niebieski', 'duży', 'czas', 'jan', 'chrzciciel', 'dotąd', 'królestwo', 'niebieski', 'doznawać', 'gwałt', 'człowiek', 'gwałtowny', 'zdobywać', 'prorok', 'prawo', 'prorokować', 'jan', 'chcieć', 'przyjąć', 'eliasz', 'przyjść', 'ucho', 'niechaj', 'słuchać']"
2018-12-16,"['wyśpiewywać', 'córa', 'syjoński', 'podnieść', 'radosny', 'okrzyk', 'izrael', 'ciesać', 'wesele', 'serce', 'córa', 'jeruzalem', 'pan', 'oddalić', 'wyrok', 'usunąć', 'nieprzyjaciel', 'król', 'izrael', 'pan', 'pośród', 'bać', 'złe', 'owo', 'dzień', 'powiedzieć', 'jerozolima', 'bój', 'syjon', 'słabnąć', 'ręka', 'pan', 'bóg', 'pośród', 'mocarz', 'dawać', 'zbawienie', 'unieść', 'wesele', 'odnowić', 'swój', 'miłość', 'wznieść', 'okrzyk', 'radość', 'dzień', 'uroczysty', 'święta', 'głosić', 'wesele', 'bóg', 'bóg', 'zbawienie', 'miał', 'ufność', 'bać', 'pan', 'moc', 'pieśń', 'stać', 'zbawienie', 'wesele', 'czerpać', 'woda', 'zdrój', 'zbawienie', 'chwalić', 'pan', 'wzywać', 'imienie', 'dać', 'poznać', 'dzieło', 'naród', 'przypominać', 'wspaniały', 'imię', 'śpiewać', 'uczynić', 'wzniosły', 'rzecz', 'wiadomy', 'ziemia', 'wznosić', 'okrzyk', 'wołać', 'radość', 'mieszkanka', 'syjon', 'wielki', 'pośród', 'święty', 'izrael', 'jan', 'nauczać', 'jordan', 'pytać', 'tłum', 'mama', 'czynić', 'odpowiadać', 'suknia', 'dać', 'temu', 'żywność', 'samo', 'czynić', 'przychodzić', 'celnik', 'przyjąć', 'chrzest', 'pytać', 'nauczyciel', 'mama', 'czynić', 'odpowiadać', 'pobierać', 'wyznaczyć', 'pytać', 'żołnierz', 'mama', 'czynić', 'odpowiadać', 'nikt', 'znęcać', 'nikt', 'uciskać', 'poprzestawać', 'żołd', 'lud', 'oczekiwać', 'napięcie', 'snuć', 'domysł', 'serce', 'jan', 'mesjasz', 'przemówić', 'chrzcić', 'woda', 'id', 'mocny', 'godny', 'rozwiązać', 'rzemyk', 'sandał', 'chrzcić', 'duch', 'święta', 'ogień', 'wiejadło', 'ręka', 'oczyszczenie', 'swój', 'omłot', 'pszenica', 'zebrać', 'spichrz', 'plew', 'spać', 'ogień', 'nieugaszony', 'napomnienie', 'dawać', 'lud', 'głosić', 'dobry', 'nowina']"
