dayID,date,title,title_tokenized,title_cleaned
9,2018-12-09,Bóg kiedyś stał się jednym z nas,"['bóg', 'kiedyś', 'stał', 'się', 'jednym', 'z', 'nas']",bóg kiedyś stał się jednym z nas
9,2018-12-09,Kto spragniony jest,"['kto', 'spragniony', 'jest']",kto spragniony jest
9,2018-12-09,Pan wywyższony,"['pan', 'wywyższony']",pan wywyższony
9,2018-12-09,Oczekuję Ciebie Panie,"['oczekuję', 'ciebie', 'panie']",oczekuję ciebie panie
10,2018-12-06,Roraty,['roraty'],roraty
10,2018-12-06,"Blisko, blisko","['blisko', 'blisko']",blisko blisko
10,2018-12-06,Każdy spragniony,"['każdy', 'spragniony']",każdy spragniony
10,2018-12-06,Zbliżam się w pokorze,"['zbliżam', 'się', 'w', 'pokorze']",zbliżam się w pokorze
10,2018-12-06,Błogosław Duszo moja Pana,"['błogosław', 'duszo', 'moja', 'pana']",błogosław duszo moja pana
10,2018-12-06,Oczekuję Ciebie Panie,"['oczekuję', 'ciebie', 'panie']",oczekuję ciebie panie
10,2018-12-06,"Niepojęty, niezmierzony ","['niepojęty', 'niezmierzony']",niepojęty niezmierzony
11,2018-12-04,Roraty,['roraty'],roraty
11,2018-12-04,"Przyjdź Jezu, przyjdź","['przyjdź', 'jezu', 'przyjdź']",przyjdź jezu przyjdź
11,2018-12-04,Oto idzie mój Bóg,"['oto', 'idzie', 'mój', 'bóg']",oto idzie mój bóg
11,2018-12-04,"Pan wywyższony, nasz Król","['pan', 'wywyższony', 'nasz', 'król']",pan wywyższony nasz król
11,2018-12-04,Oto Pan Bóg przyjdzie,"['oto', 'pan', 'bóg', 'przyjdzie']",oto pan bóg przyjdzie
12,2018-12-03,Roraty,['roraty'],roraty
12,2018-12-03, Łaską jesteśmy zbawieni,"['łaską', 'jesteśmy', 'zbawieni']",łaską jesteśmy zbawieni
12,2018-12-03,Chleb niebiański,"['chleb', 'niebiański']",chleb niebiański
12,2018-12-03,Chwal Adonai,"['chwal', 'adonai']",chwal adonai
12,2018-12-03,Marana Tha (przyjdź Panie przyjdź),"['marana', 'tha', 'przyjdź', 'panie', 'przyjdź']",marana tha przyjdź panie przyjdź
13,2018-12-02,Święty nadchodzi święty,"['święty', 'nadchodzi', 'święty']",święty nadchodzi święty
13,2018-12-02,Ubi caritas,"['ubi', 'caritas']",ubi caritas
13,2018-12-02,Ciebie pragnie dusza moja,"['ciebie', 'pragnie', 'dusza', 'moja']",ciebie pragnie dusza moja
13,2018-12-02,Dzielmy się wiarą jak chlebem ,"['dzielmy', 'się', 'wiarą', 'jak', 'chlebem']",dzielmy się wiarą jak chlebem
13,2018-12-02,Uwielbiajcie Pana,"['uwielbiajcie', 'pana']",uwielbiajcie pana
13,2018-12-02,Zbawca,['zbawca'],zbawca
13,2018-12-02,Ukojenie,['ukojenie'],ukojenie
14,2019-01-28,Każdy spragniony,"['każdy', 'spragniony']",każdy spragniony
14,2019-01-28,Święty 5x Pan,"['święty', 'x', 'pan']",święty x pan
14,2019-01-28,Ukaż mi Panie swą twarz,"['ukaż', 'mi', 'panie', 'swą', 'twarz']",ukaż mi panie swą twarz
14,2019-01-28,Aż sponad mórz i szczytów gór,"['aż', 'sponad', 'mórz', 'i', 'szczytów', 'gór']",aż sponad mórz i szczytów gór
14,2019-01-28,Jezus siła ma,"['jezus', 'siła', 'ma']",jezus siła ma
15,2019-01-27, wejdźmy do jego bram z uwielbieniem,"['wejdźmy', 'do', 'jego', 'bram', 'z', 'uwielbieniem']",wejdźmy do jego bram z uwielbieniem
15,2019-01-27, Jest jedno ciało,"['jest', 'jedno', 'ciało']",jest jedno ciało
15,2019-01-27, chlebie najcichszy,"['chlebie', 'najcichszy']",chlebie najcichszy
15,2019-01-27, Kto spożywa,"['kto', 'spożywa']",kto spożywa
15,2019-01-27, nasz Bóg jest wielki,"['nasz', 'bóg', 'jest', 'wielki']",nasz bóg jest wielki
15,2019-01-27,Ty jesteś skałą zbawienia,"['ty', 'jesteś', 'skałą', 'zbawienia']",ty jesteś skałą zbawienia
15,2019-01-27, jezu tys jest światłością,"['jezu', 'tys', 'jest', 'światłością']",jezu tys jest światłością
16,2019-01-24, Przywołaj mnie Panie (mów do mego serca),"['przywołaj', 'mnie', 'panie', 'mów', 'do', 'mego', 'serca']",przywołaj mnie panie mów do mego serca
16,2019-01-24, Panie mój przychodzę dziś,"['panie', 'mój', 'przychodzę', 'dziś']",panie mój przychodzę dziś
16,2019-01-24, Dzielmy się wiarą jak chlebem,"['dzielmy', 'się', 'wiarą', 'jak', 'chlebem']",dzielmy się wiarą jak chlebem
16,2019-01-24, Dobry jest Pan,"['dobry', 'jest', 'pan']",dobry jest pan
16,2019-01-24, Nasz Bóg jest wielki,"['nasz', 'bóg', 'jest', 'wielki']",nasz bóg jest wielki
16,2019-01-24, Bóg się rodzi,"['bóg', 'się', 'rodzi']",bóg się rodzi
16,2019-01-24, Przed tronem Twym stoimy,"['przed', 'tronem', 'twym', 'stoimy']",przed tronem twym stoimy
17,2019-01-23, Pójdźmy wszyscy do stajenki,"['pójdźmy', 'wszyscy', 'do', 'stajenki']",pójdźmy wszyscy do stajenki
17,2019-01-23, Tryumfy,['tryumfy'],tryumfy
17,2019-01-23, Ty jesteś chlebem żywym,"['ty', 'jesteś', 'chlebem', 'żywym']",ty jesteś chlebem żywym
17,2019-01-23, Będę śpiewał Ci,"['będę', 'śpiewał', 'ci']",będę śpiewał ci
17,2019-01-23,Bóg nasz Pan,"['bóg', 'nasz', 'pan']",bóg nasz pan
18,2019-01-20," Wzywam Cię, Duchu","['wzywam', 'cię', 'duchu']",wzywam cię duchu
18,2019-01-20, Tylko w Twoim miłosierdziu,"['tylko', 'w', 'twoim', 'miłosierdziu']",tylko w twoim miłosierdziu
18,2019-01-20, Na Komunię ( kto spożywa moje ciało),"['na', 'komunię', 'kto', 'spożywa', 'moje', 'ciało']",na komunię kto spożywa moje ciało
18,2019-01-20, Każdy spragniony,"['każdy', 'spragniony']",każdy spragniony
18,2019-01-20, Każdy dzień upewnia mnie,"['każdy', 'dzień', 'upewnia', 'mnie']",każdy dzień upewnia mnie
18,2019-01-20, O Pani Ufność nasza,"['o', 'pani', 'ufność', 'nasza']",o pani ufność nasza
18,2019-01-20, Zanim powiem słowo,"['zanim', 'powiem', 'słowo']",zanim powiem słowo
19,2019-01-17, Duchu Stworzycielu (modlitwa br.Rogera),"['duchu', 'stworzycielu', 'modlitwa', 'br', 'rogera']",duchu stworzycielu modlitwa br rogera
19,2019-01-17,Dotknij Panie moich oczu,"['dotknij', 'panie', 'moich', 'oczu']",dotknij panie moich oczu
19,2019-01-17,Skosztujcie i zobaczcie,"['skosztujcie', 'i', 'zobaczcie']",skosztujcie i zobaczcie
19,2019-01-17,Chleb żywy,"['chleb', 'żywy']",chleb żywy
19,2019-01-17, Zbawca,['zbawca'],zbawca
19,2019-01-17, Pan wywyższony,"['pan', 'wywyższony']",pan wywyższony
19,2019-01-17,Zaprowadź mnie tam,"['zaprowadź', 'mnie', 'tam']",zaprowadź mnie tam
20,2019-01-16, jeden jest tylko Pan,"['jeden', 'jest', 'tylko', 'pan']",jeden jest tylko pan
20,2019-01-16, Panie mój przychodzę dziś,"['panie', 'mój', 'przychodzę', 'dziś']",panie mój przychodzę dziś
20,2019-01-16, Zbliżam się w pokorze,"['zbliżam', 'się', 'w', 'pokorze']",zbliżam się w pokorze
20,2019-01-16, Będę wysławiał Pana w każdym czasie,"['będę', 'wysławiał', 'pana', 'w', 'każdym', 'czasie']",będę wysławiał pana w każdym czasie
20,2019-01-16,Jesteś Królem,"['jesteś', 'królem']",jesteś królem
21,2019-01-15, Pójdźmy wszyscy,"['pójdźmy', 'wszyscy']",pójdźmy wszyscy
21,2019-01-15, Oczyść serce me,"['oczyść', 'serce', 'me']",oczyść serce me
21,2019-01-15, Być bliżej Ciebie chcę,"['być', 'bliżej', 'ciebie', 'chcę']",być bliżej ciebie chcę
21,2019-01-15, Błogosławione jest Imię Twe,"['błogosławione', 'jest', 'imię', 'twe']",błogosławione jest imię twe
21,2019-01-15," Raduj się świecie, przyszedł Pan","['raduj', 'się', 'świecie', 'przyszedł', 'pan']",raduj się świecie przyszedł pan
22,2019-01-13, Gdy śliczna Panna,"['gdy', 'śliczna', 'panna']",gdy śliczna panna
22,2019-01-13," Do szopy, hej pasterze ","['do', 'szopy', 'hej', 'pasterze']",do szopy hej pasterze
22,2019-01-13, Skosztujcie i zobaczcie,"['skosztujcie', 'i', 'zobaczcie']",skosztujcie i zobaczcie
22,2019-01-13, Jezus Chrystus to Panów Pan,"['jezus', 'chrystus', 'to', 'panów', 'pan']",jezus chrystus to panów pan
22,2019-01-13, Gdy się Chrystus rodzi,"['gdy', 'się', 'chrystus', 'rodzi']",gdy się chrystus rodzi
23,2019-01-10, Wesołą nowinę,"['wesołą', 'nowinę']",wesołą nowinę
23,2019-01-10, Cicha noc,"['cicha', 'noc']",cicha noc
23,2019-01-10, Nad Betlejem w ciemną noc,"['nad', 'betlejem', 'w', 'ciemną', 'noc']",nad betlejem w ciemną noc
23,2019-01-10, Pospieszcie o wierni,"['pospieszcie', 'o', 'wierni']",pospieszcie o wierni
23,2019-01-10,Zbawca,['zbawca'],zbawca
23,2019-01-10,Gdy się Chrystus rodzi,"['gdy', 'się', 'chrystus', 'rodzi']",gdy się chrystus rodzi
23,2019-01-10, Jezus malusieńki,"['jezus', 'malusieńki']",jezus malusieńki
23,2019-01-10," Do szopy, hej, pasterze","['do', 'szopy', 'hej', 'pasterze']",do szopy hej pasterze
24,2019-01-09, Wśród nocnej ciszy,"['wśród', 'nocnej', 'ciszy']",wśród nocnej ciszy
24,2019-01-09, Pan blisko jest,"['pan', 'blisko', 'jest']",pan blisko jest
24,2019-01-09, Witaj Pokarmie,"['witaj', 'pokarmie']",witaj pokarmie
24,2019-01-09, Cicha noc,"['cicha', 'noc']",cicha noc
24,2019-01-09,"Święty Pan, Bóg i Król","['święty', 'pan', 'bóg', 'i', 'król']",święty pan bóg i król
25,2019-01-08, Bóg się rodzi,"['bóg', 'się', 'rodzi']",bóg się rodzi
25,2019-01-08, O gwiazdo Betlejemska,"['o', 'gwiazdo', 'betlejemska']",o gwiazdo betlejemska
25,2019-01-08, Wśród nocnej ciszy,"['wśród', 'nocnej', 'ciszy']",wśród nocnej ciszy
25,2019-01-08, Gdy śliczna panna,"['gdy', 'śliczna', 'panna']",gdy śliczna panna
25,2019-01-08, Cicha noc,"['cicha', 'noc']",cicha noc
26,2019-01-06, Mędrcy świata,"['mędrcy', 'świata']",mędrcy świata
26,2019-01-06, O gwiazdo Betlejemska,"['o', 'gwiazdo', 'betlejemska']",o gwiazdo betlejemska
26,2019-01-06, Gdy się Chrystus rodzi,"['gdy', 'się', 'chrystus', 'rodzi']",gdy się chrystus rodzi
26,2019-01-06, Ach ubogi żłobie,"['ach', 'ubogi', 'żłobie']",ach ubogi żłobie
26,2019-01-06, Pójdźmy wszyscy do stajenki,"['pójdźmy', 'wszyscy', 'do', 'stajenki']",pójdźmy wszyscy do stajenki
26,2019-01-06, Tryumfy,['tryumfy'],tryumfy
27,2019-01-03,"Do szopy, hej pasterze","['do', 'szopy', 'hej', 'pasterze']",do szopy hej pasterze
27,2019-01-03, Cała ziemio wołaj,"['cała', 'ziemio', 'wołaj']",cała ziemio wołaj
27,2019-01-03, Zbliżam się w pokorze,"['zbliżam', 'się', 'w', 'pokorze']",zbliżam się w pokorze
27,2019-01-03,Dzisiaj w Betlejem,"['dzisiaj', 'w', 'betlejem']",dzisiaj w betlejem
27,2019-01-03, Bóg się rodzi,"['bóg', 'się', 'rodzi']",bóg się rodzi
27,2019-01-03,Ukaż mi Panie swą twarz,"['ukaż', 'mi', 'panie', 'swą', 'twarz']",ukaż mi panie swą twarz
28,2019-01-29,Niechaj z nami będzie Pan,"['niechaj', 'z', 'nami', 'będzie', 'pan']",niechaj z nami będzie pan
28,2019-01-29, Kto spragniony jest,"['kto', 'spragniony', 'jest']",kto spragniony jest
28,2019-01-29, Jeden Chleb,"['jeden', 'chleb']",jeden chleb
28,2019-01-29, Chwal Adonai,"['chwal', 'adonai']",chwal adonai
28,2019-01-29,Zabierzesz mnie na drugi brzeg,"['zabierzesz', 'mnie', 'na', 'drugi', 'brzeg']",zabierzesz mnie na drugi brzeg
29,2019-01-30, Niechaj zstąpi Duch Twój,"['niechaj', 'zstąpi', 'duch', 'twój']",niechaj zstąpi duch twój
29,2019-01-30, Niechaj miłość Twa,"['niechaj', 'miłość', 'twa']",niechaj miłość twa
29,2019-01-30,Być bliżej Ciebie chcę,"['być', 'bliżej', 'ciebie', 'chcę']",być bliżej ciebie chcę
29,2019-01-30,Nic nie musisz mówić nic,"['nic', 'nie', 'musisz', 'mówić', 'nic']",nic nie musisz mówić nic
30,2019-02-03, przybądź Święty niepojęty,"['przybądź', 'święty', 'niepojęty']",przybądź święty niepojęty
30,2019-02-03, niechaj miłość Twa,"['niechaj', 'miłość', 'twa']",niechaj miłość twa
30,2019-02-03, Chrystus Pan karmi nas,"['chrystus', 'pan', 'karmi', 'nas']",chrystus pan karmi nas
30,2019-02-03,Godzien o godzien,"['godzien', 'o', 'godzien']",godzien o godzien
30,2019-02-03, Maryjo Matko mojego wezwania,"['maryjo', 'matko', 'mojego', 'wezwania']",maryjo matko mojego wezwania
31,2019-02-05,"Lud Twój Panie, lud pielgrzymi","['lud', 'twój', 'panie', 'lud', 'pielgrzymi']",lud twój panie lud pielgrzymi
31,2019-02-05,Miłość mnie ogarnęła,"['miłość', 'mnie', 'ogarnęła']",miłość mnie ogarnęła
31,2019-02-05,Stoisz u naszych drzwi,"['stoisz', 'u', 'naszych', 'drzwi']",stoisz u naszych drzwi
31,2019-02-05,"Jak dobrze jest dziękować Ci, Panie","['jak', 'dobrze', 'jest', 'dziękować', 'ci', 'panie']",jak dobrze jest dziękować ci panie
31,2019-02-05,Oprócz Ciebie nikt Miriam,"['oprócz', 'ciebie', 'nikt', 'miriam']",oprócz ciebie nikt miriam
32,2019-02-06, Każdy spragniony,"['każdy', 'spragniony']",każdy spragniony
32,2019-02-06,Ubi Caritas,"['ubi', 'caritas']",ubi caritas
32,2019-02-06,Boże mój Boże szukam Ciebie,"['boże', 'mój', 'boże', 'szukam', 'ciebie']",boże mój boże szukam ciebie
32,2019-02-06, Gdy klęczę przed Tobą,"['gdy', 'klęczę', 'przed', 'tobą']",gdy klęczę przed tobą
32,2019-02-06,Pragnę śpiewać Ci,"['pragnę', 'śpiewać', 'ci']",pragnę śpiewać ci
33,2019-02-07,Ciebie cała dusza pragnę,"['ciebie', 'cała', 'dusza', 'pragnę']",ciebie cała dusza pragnę
33,2019-02-07,Otwórz me oczy o Panie ,"['otwórz', 'me', 'oczy', 'o', 'panie']",otwórz me oczy o panie
33,2019-02-07,Twe imię jak miód,"['twe', 'imię', 'jak', 'miód']",twe imię jak miód
33,2019-02-07, Skosztujcie I zobaczcie,"['skosztujcie', 'i', 'zobaczcie']",skosztujcie i zobaczcie
33,2019-02-07, Chwal Adonai,"['chwal', 'adonai']",chwal adonai
33,2019-02-07, Oddajmy cześć ,"['oddajmy', 'cześć']",oddajmy cześć
34,2019-02-10,święty 5X,"['święty', 'x']",święty x
34,2019-02-10,"Oto ja, Poślij mnie","['oto', 'ja', 'poślij', 'mnie']",oto ja poślij mnie
34,2019-02-10,Chlebie najcichszy,"['chlebie', 'najcichszy']",chlebie najcichszy
34,2019-02-10,Uwielbiam imię twoje Panie,"['uwielbiam', 'imię', 'twoje', 'panie']",uwielbiam imię twoje panie
34,2019-02-10,Ty jesteś skałą zbawienia mego,"['ty', 'jesteś', 'skałą', 'zbawienia', 'mego']",ty jesteś skałą zbawienia mego
34,2019-02-10,Zaufałem panu i już,"['zaufałem', 'panu', 'i', 'już']",zaufałem panu i już
35,2019-02-12, Jezus najwyższe imię,"['jezus', 'najwyższe', 'imię']",jezus najwyższe imię
35,2019-02-12, Do mnie wróć,"['do', 'mnie', 'wróć']",do mnie wróć
35,2019-02-12, Ja wiem w kogo ja wierzę,"['ja', 'wiem', 'w', 'kogo', 'ja', 'wierzę']",ja wiem w kogo ja wierzę
35,2019-02-12, Chwała Bogu Ojcu,"['chwała', 'bogu', 'ojcu']",chwała bogu ojcu
35,2019-02-12,Gdy klęczę przed tobą,"['gdy', 'klęczę', 'przed', 'tobą']",gdy klęczę przed tobą
36,2019-02-13, Maryjo Matko mojego wezwania,"['maryjo', 'matko', 'mojego', 'wezwania']",maryjo matko mojego wezwania
36,2019-02-13, O Panie Ty nam dajesz,"['o', 'panie', 'ty', 'nam', 'dajesz']",o panie ty nam dajesz
36,2019-02-13,Wodę zamieniłeś w wino,"['wodę', 'zamieniłeś', 'w', 'wino']",wodę zamieniłeś w wino
36,2019-02-13,Jesteś Królem ,"['jesteś', 'królem']",jesteś królem
37,2019-02-14, Wzywam Cię,"['wzywam', 'cię']",wzywam cię
37,2019-02-14, Oto stoję u drzwi i kołaczę,"['oto', 'stoję', 'u', 'drzwi', 'i', 'kołaczę']",oto stoję u drzwi i kołaczę
37,2019-02-14, Oto są baranki młode,"['oto', 'są', 'baranki', 'młode']",oto są baranki młode
37,2019-02-14, Chwała Ojcu,"['chwała', 'ojcu']",chwała ojcu
37,2019-02-14,Miłujcie się wzajemnie,"['miłujcie', 'się', 'wzajemnie']",miłujcie się wzajemnie
37,2019-02-14," Niepojęty, niezmierzony","['niepojęty', 'niezmierzony']",niepojęty niezmierzony
37,2019-02-14, Idź w pokoju,"['idź', 'w', 'pokoju']",idź w pokoju
38,2019-02-17, Będę śpiewał Ci,"['będę', 'śpiewał', 'ci']",będę śpiewał ci
38,2019-02-17, Panie mój przychodzę dziś,"['panie', 'mój', 'przychodzę', 'dziś']",panie mój przychodzę dziś
38,2019-02-17, Boże mój Boże,"['boże', 'mój', 'boże']",boże mój boże
38,2019-02-17, Będę śpiewał Tobie,"['będę', 'śpiewał', 'tobie']",będę śpiewał tobie
38,2019-02-17, Jezus Chrystus moim Panem jest,"['jezus', 'chrystus', 'moim', 'panem', 'jest']",jezus chrystus moim panem jest
38,2019-02-17,Boże Twa łaska,"['boże', 'twa', 'łaska']",boże twa łaska
39,2019-02-18, Przywołaj mnie Panie,"['przywołaj', 'mnie', 'panie']",przywołaj mnie panie
39,2019-02-18, Bo góry mogą ustąpić ,"['bo', 'góry', 'mogą', 'ustąpić']",bo góry mogą ustąpić
39,2019-02-18, Ty jesteś chlebem żywym,"['ty', 'jesteś', 'chlebem', 'żywym']",ty jesteś chlebem żywym
39,2019-02-18, Jak Dawid,"['jak', 'dawid']",jak dawid
39,2019-02-18, Pan Cię uchroni ,"['pan', 'cię', 'uchroni']",pan cię uchroni
40,2019-02-21, Oto są baranki młode,"['oto', 'są', 'baranki', 'młode']",oto są baranki młode
40,2019-02-21," Ofiaruję Tobie, Panie mój","['ofiaruję', 'tobie', 'panie', 'mój']",ofiaruję tobie panie mój
40,2019-02-21, Witaj Pokarmie,"['witaj', 'pokarmie']",witaj pokarmie
40,2019-02-21, Ty światłość dnia,"['ty', 'światłość', 'dnia']",ty światłość dnia
40,2019-02-21, Oczekuję Ciebie Panie,"['oczekuję', 'ciebie', 'panie']",oczekuję ciebie panie
41,2019-02-24, Duchu Święty wołam przyjdź,"['duchu', 'święty', 'wołam', 'przyjdź']",duchu święty wołam przyjdź
41,2019-02-24, Dotknij Panie moich oczu,"['dotknij', 'panie', 'moich', 'oczu']",dotknij panie moich oczu
41,2019-02-24, Skosztujcie i zobaczcie ,"['skosztujcie', 'i', 'zobaczcie']",skosztujcie i zobaczcie
41,2019-02-24, Ty światłość dnia,"['ty', 'światłość', 'dnia']",ty światłość dnia
41,2019-02-24, Duszo ma Pana chwal,"['duszo', 'ma', 'pana', 'chwal']",duszo ma pana chwal
41,2019-02-24, Zaprowadź mnie tam ,"['zaprowadź', 'mnie', 'tam']",zaprowadź mnie tam
42,2019-02-25, przed tronem Twym,"['przed', 'tronem', 'twym']",przed tronem twym
42,2019-02-25, ukaż mi Panie swą Twarz,"['ukaż', 'mi', 'panie', 'swą', 'twarz']",ukaż mi panie swą twarz
42,2019-02-25, dotknij Panie moich oczu,"['dotknij', 'panie', 'moich', 'oczu']",dotknij panie moich oczu
42,2019-02-25," Niepojęty, niezmierzony","['niepojęty', 'niezmierzony']",niepojęty niezmierzony
42,2019-02-25, święte imię Jezus ,"['święte', 'imię', 'jezus']",święte imię jezus
43,2019-02-26,Pokładam w Panu ufność swą,"['pokładam', 'w', 'panu', 'ufność', 'swą']",pokładam w panu ufność swą
43,2019-02-26,"Jeden chleb, co zmienia się w Chrystusa Ciało","['jeden', 'chleb', 'co', 'zmienia', 'się', 'w', 'chrystusa', 'ciało']",jeden chleb co zmienia się w chrystusa ciało
43,2019-02-26,Miłujcie się wzajemnie,"['miłujcie', 'się', 'wzajemnie']",miłujcie się wzajemnie
43,2019-02-26,Pragnę śpiewać Ci najpiękniejszą pieśń,"['pragnę', 'śpiewać', 'ci', 'najpiękniejszą', 'pieśń']",pragnę śpiewać ci najpiękniejszą pieśń
43,2019-02-26,Jak dobrze jest dziękować Ci,"['jak', 'dobrze', 'jest', 'dziękować', 'ci']",jak dobrze jest dziękować ci
44,2019-02-27, Cześć Maryi,"['cześć', 'maryi']",cześć maryi
44,2019-02-27, Panie dobry jak chleb,"['panie', 'dobry', 'jak', 'chleb']",panie dobry jak chleb
44,2019-02-27, Bądź pochwalony,"['bądź', 'pochwalony']",bądź pochwalony
44,2019-02-27,Wywyższony,['wywyższony'],wywyższony
45,2019-02-28, Wzywam Cię,"['wzywam', 'cię']",wzywam cię
45,2019-02-28,Oddajmy cześć,"['oddajmy', 'cześć']",oddajmy cześć
45,2019-02-28, Nasz Bóg jest potężny w mocy swej,"['nasz', 'bóg', 'jest', 'potężny', 'w', 'mocy', 'swej']",nasz bóg jest potężny w mocy swej
