alleluja,amen,bo,boga,bogiem,bogu,boże,bóg,chcę,chwała,chwałę,ci,ciebie,cię,czas,cześć,daj,dobry,duch,duchu,dzień,gdy,go,imię,jak,jego,jesteś,jezu,jezus,królem,miłości,miłość,moc,mym,nie,nieba,niech,nim,on,pan,pana,panem,panie,panu,pieśń,przyjdź,serca,serce,siebie,swe,swej,swym,swą,tobie,tobą,twa,twe,twej,twych,twym,twój,ty,tyś,wciąż,wieki,ziemi,świat,święty,życie
0.0,0.0,0.32927331670048016,0.0,0.0,0.0,0.0,0.24005238707885093,0.0,0.0,0.0,0.0,0.49563022893585035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20534431010172668,0.0,0.0,0.0,0.0,0.0,0.7028260357646336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22841604210742977,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.9104703704548377,0.04858443189081817,0.0,0.0,0.04858443189081817,0.0,0.0,0.0,0.0,0.13939236865491603,0.0,0.0,0.0,0.0,0.0,0.04037721322879125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08329501514109156,0.0,0.17716994938183991,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11936029464620339,0.0,0.06852311062883976,0.0,0.2826404926015388,0.046464122884972,0.0,0.046464122884972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.046464122884972,0.04037721322879125,0.0,0.0,0.0,0.0
0.6238632210360328,0.6658105778108909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07022796632052934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0779829026295041,0.23476353486912768,0.0,0.0,0.31837672379334764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.607760369232855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4521031159966387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.652863007143209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.4689422979727713,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35293169338918606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7385923388828692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3316831287795491,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.553159088112814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5060614393939217,0.43561762974864016,0.0,0.0,0.4981507035515748,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.35947836501068287,0.0,0.0,0.0,0.0,0.0,0.2810097114138211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3415885232325788,0.2940393621338254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37337916172280006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3810939008220382,0.0,0.3984844546475438,0.0,0.0,0.0,0.0,0.0,0.3810939008220382,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.5673959574816708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6174231994233256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26049676649583275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3016942370791522,0.27849302483414956,0.0,0.24579275279082555
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2858951810662747,0.0,0.0,0.0,0.0,0.0,0.0,0.4185223467222183,0.0,0.0,0.4090088620345608,0.0,0.0,0.0,0.0,0.706314360258662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2773711701074932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23678691323145368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8774859190330011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31270216405902224,0.0,0.2759851014347224
