,Pierwsze czytanie,Psalm_ref,Psalm,Ewangelia,total,Pierwsze czytanie_tokenized_lower_nostops,Psalm_ref_tokenized_lower_nostops,Psalm_tokenized_lower_nostops,Ewangelia_tokenized_lower_nostops,total_tokenized_lower_nostops
2018-12-20,"Pan przemówił do Achaza tymi słowami: „Proś dla siebie o znak od Pana, Boga twego, czy to głęboko w Szeolu, czy to wysoko w górze”. Lecz Achaz odpowiedział: „Nie będę prosił i nie będę wystawiał Pana na próbę”. Wtedy rzekł Izajasz: „Słuchajcie więc, domu Dawidowy: Czyż mało wam naprzykrzać się ludziom, iż naprzykrzacie się także mojemu Bogu? Dlatego Pan sam da wam znak: Oto Panna pocznie i porodzi Syna, I nazwie Go imieniem Emanuel”.","Przybądź, o Panie, Tyś jest Królem chwały","Do Pana należy ziemia i wszystko, co ją napełnia,    świat i jego mieszkańcy.   Albowiem On go na morzach osadził    i utwierdził ponad rzekami.Kto wstąpi na górę Pana,    kto stanie w Jego świętym miejscu?   Człowiek rąk nieskalanych i czystego serca,    który nie skłonił swej duszy ku marnościom.On otrzyma błogosławieństwo od Pana    i zapłatę od Boga, swego Zbawcy.   Oto pokolenie tych, którzy Go szukają,    którzy szukają oblicza Boga Jakuba.","Bóg posłał anioła Gabriela do miasta w Galilei, zwanego Nazaret, do Dziewicy poślubionej mężowi, imieniem Józef, z rodu Dawida; a Dziewicy było na imię Maryja. Anioł wszedł do Niej i rzekł: „Bądź pozdrowiona, pełna łaski, Pan z Tobą”. Ona zmieszała się na te słowa i rozważała, co miałoby znaczyć to pozdrowienie.ecz anioł rzekł do Niej: „Nie bój się, Maryjo, znalazłaś bowiem łaskę u Boga. Oto poczniesz i porodzisz Syna, któremu nadasz imię Jezus. Będzie On wielki i będzie nazwany Synem Najwyższego, a Pan Bóg da Mu tron Jego ojca, Dawida. Będzie panował nad domem Jakuba na wieki, a Jego panowaniu nie będzie końca”. Na to Maryja rzekła do anioła: „Jakże się to stanie, skoro nie znam męża?” Anioł Jej odpowiedział: „Duch Święty zstąpi na Ciebie i moc Najwyższego osłoni Cię. Dlatego też Święte, które się narodzi, będzie nazwane Synem Bożym. A oto również krewna Twoja, Elżbieta, poczęła w swej starości syna i jest już w szóstym miesiącu ta, która uchodzi za niepłodną. Dla Boga bowiem nie ma nic niemożliwego”. Na to rzekła Maryja: „Oto ja służebnica Pańska, niech mi się stanie według twego słowa”. Wtedy odszedł od Niej anioł.","Pan przemówił do Achaza tymi słowami: „Proś dla siebie o znak od Pana, Boga twego, czy to głęboko w Szeolu, czy to wysoko w górze”. Lecz Achaz odpowiedział: „Nie będę prosił i nie będę wystawiał Pana na próbę”. Wtedy rzekł Izajasz: „Słuchajcie więc, domu Dawidowy: Czyż mało wam naprzykrzać się ludziom, iż naprzykrzacie się także mojemu Bogu? Dlatego Pan sam da wam znak: Oto Panna pocznie i porodzi Syna, I nazwie Go imieniem Emanuel”. Przybądź, o Panie, Tyś jest Królem chwały Do Pana należy ziemia i wszystko, co ją napełnia,    świat i jego mieszkańcy.   Albowiem On go na morzach osadził    i utwierdził ponad rzekami.Kto wstąpi na górę Pana,    kto stanie w Jego świętym miejscu?   Człowiek rąk nieskalanych i czystego serca,    który nie skłonił swej duszy ku marnościom.On otrzyma błogosławieństwo od Pana    i zapłatę od Boga, swego Zbawcy.   Oto pokolenie tych, którzy Go szukają,    którzy szukają oblicza Boga Jakuba. Bóg posłał anioła Gabriela do miasta w Galilei, zwanego Nazaret, do Dziewicy poślubionej mężowi, imieniem Józef, z rodu Dawida; a Dziewicy było na imię Maryja. Anioł wszedł do Niej i rzekł: „Bądź pozdrowiona, pełna łaski, Pan z Tobą”. Ona zmieszała się na te słowa i rozważała, co miałoby znaczyć to pozdrowienie.ecz anioł rzekł do Niej: „Nie bój się, Maryjo, znalazłaś bowiem łaskę u Boga. Oto poczniesz i porodzisz Syna, któremu nadasz imię Jezus. Będzie On wielki i będzie nazwany Synem Najwyższego, a Pan Bóg da Mu tron Jego ojca, Dawida. Będzie panował nad domem Jakuba na wieki, a Jego panowaniu nie będzie końca”. Na to Maryja rzekła do anioła: „Jakże się to stanie, skoro nie znam męża?” Anioł Jej odpowiedział: „Duch Święty zstąpi na Ciebie i moc Najwyższego osłoni Cię. Dlatego też Święte, które się narodzi, będzie nazwane Synem Bożym. A oto również krewna Twoja, Elżbieta, poczęła w swej starości syna i jest już w szóstym miesiącu ta, która uchodzi za niepłodną. Dla Boga bowiem nie ma nic niemożliwego”. Na to rzekła Maryja: „Oto ja służebnica Pańska, niech mi się stanie według twego słowa”. Wtedy odszedł od Niej anioł.","['przemówił', 'achaza', 'tymi', 'słowami', 'proś', 'siebie', 'znak', 'boga', 'twego', 'głęboko', 'szeolu', 'wysoko', 'górze', 'achaz', 'odpowiedział', 'prosił', 'wystawiał', 'próbę', 'rzekł', 'izajasz', 'słuchajcie', 'domu', 'dawidowy', 'czyż', 'naprzykrzać', 'ludziom', 'naprzykrzacie', 'mojemu', 'bogu', 'da', 'znak', 'panna', 'pocznie', 'porodzi', 'syna', 'nazwie', 'imieniem', 'emanuel']","['przybądź', 'panie', 'tyś', 'królem', 'chwały']","['należy', 'ziemia', 'napełnia', 'świat', 'mieszkańcy', 'morzach', 'osadził', 'utwierdził', 'rzekamikto', 'wstąpi', 'górę', 'stanie', 'świętym', 'miejscu', 'człowiek', 'rąk', 'nieskalanych', 'czystego', 'serca', 'skłonił', 'swej', 'duszy', 'marnościomon', 'otrzyma', 'błogosławieństwo', 'zapłatę', 'boga', 'swego', 'zbawcy', 'pokolenie', 'szukają', 'szukają', 'oblicza', 'boga', 'jakuba']","['bóg', 'posłał', 'anioła', 'gabriela', 'miasta', 'galilei', 'zwanego', 'nazaret', 'dziewicy', 'poślubionej', 'mężowi', 'imieniem', 'józef', 'rodu', 'dawida', 'dziewicy', 'imię', 'maryja', 'anioł', 'wszedł', 'rzekł', 'bądź', 'pozdrowiona', 'pełna', 'łaski', 'zmieszała', 'słowa', 'rozważała', 'miałoby', 'znaczyć', 'pozdrowienieecz', 'anioł', 'rzekł', 'bój', 'maryjo', 'znalazłaś', 'łaskę', 'boga', 'poczniesz', 'porodzisz', 'syna', 'któremu', 'nadasz', 'imię', 'jezus', 'wielki', 'nazwany', 'synem', 'najwyższego', 'bóg', 'da', 'tron', 'ojca', 'dawida', 'panował', 'domem', 'jakuba', 'wieki', 'panowaniu', 'końca', 'maryja', 'rzekła', 'anioła', 'jakże', 'stanie', 'skoro', 'znam', 'męża', 'anioł', 'odpowiedział', 'duch', 'święty', 'zstąpi', 'moc', 'najwyższego', 'osłoni', 'święte', 'narodzi', 'nazwane', 'synem', 'bożym', 'krewna', 'elżbieta', 'poczęła', 'swej', 'starości', 'syna', 'szóstym', 'miesiącu', 'uchodzi', 'niepłodną', 'boga', 'niemożliwego', 'rzekła', 'maryja', 'służebnica', 'pańska', 'stanie', 'twego', 'słowa', 'odszedł', 'anioł']","['przemówił', 'achaza', 'tymi', 'słowami', 'proś', 'siebie', 'znak', 'boga', 'twego', 'głęboko', 'szeolu', 'wysoko', 'górze', 'achaz', 'odpowiedział', 'prosił', 'wystawiał', 'próbę', 'rzekł', 'izajasz', 'słuchajcie', 'domu', 'dawidowy', 'czyż', 'naprzykrzać', 'ludziom', 'naprzykrzacie', 'mojemu', 'bogu', 'da', 'znak', 'panna', 'pocznie', 'porodzi', 'syna', 'nazwie', 'imieniem', 'emanuel', 'przybądź', 'panie', 'tyś', 'królem', 'chwały', 'należy', 'ziemia', 'napełnia', 'świat', 'mieszkańcy', 'morzach', 'osadził', 'utwierdził', 'rzekamikto', 'wstąpi', 'górę', 'stanie', 'świętym', 'miejscu', 'człowiek', 'rąk', 'nieskalanych', 'czystego', 'serca', 'skłonił', 'swej', 'duszy', 'marnościomon', 'otrzyma', 'błogosławieństwo', 'zapłatę', 'boga', 'swego', 'zbawcy', 'pokolenie', 'szukają', 'szukają', 'oblicza', 'boga', 'jakuba', 'bóg', 'posłał', 'anioła', 'gabriela', 'miasta', 'galilei', 'zwanego', 'nazaret', 'dziewicy', 'poślubionej', 'mężowi', 'imieniem', 'józef', 'rodu', 'dawida', 'dziewicy', 'imię', 'maryja', 'anioł', 'wszedł', 'rzekł', 'bądź', 'pozdrowiona', 'pełna', 'łaski', 'zmieszała', 'słowa', 'rozważała', 'miałoby', 'znaczyć', 'pozdrowienieecz', 'anioł', 'rzekł', 'bój', 'maryjo', 'znalazłaś', 'łaskę', 'boga', 'poczniesz', 'porodzisz', 'syna', 'któremu', 'nadasz', 'imię', 'jezus', 'wielki', 'nazwany', 'synem', 'najwyższego', 'bóg', 'da', 'tron', 'ojca', 'dawida', 'panował', 'domem', 'jakuba', 'wieki', 'panowaniu', 'końca', 'maryja', 'rzekła', 'anioła', 'jakże', 'stanie', 'skoro', 'znam', 'męża', 'anioł', 'odpowiedział', 'duch', 'święty', 'zstąpi', 'moc', 'najwyższego', 'osłoni', 'święte', 'narodzi', 'nazwane', 'synem', 'bożym', 'krewna', 'elżbieta', 'poczęła', 'swej', 'starości', 'syna', 'szóstym', 'miesiącu', 'uchodzi', 'niepłodną', 'boga', 'niemożliwego', 'rzekła', 'maryja', 'służebnica', 'pańska', 'stanie', 'twego', 'słowa', 'odszedł', 'anioł']"
2018-12-19,"W Sorea, w pokoleniu Dana, żył pewien mąż imieniem Manoach. Żona jego była niepłodna i nie rodziła. Anioł Pański ukazał się owej kobiecie mówiąc jej: „Otoś teraz niepłodna i nie rodziłaś, ale poczniesz i porodzisz syna. Lecz odtąd strzeż się: nie pij wina ani sycery i nie jedz nic nieczystego. Oto poczniesz i porodzisz syna, a brzytwa nie dotknie jego głowy, gdyż chłopiec ten będzie Bożym nazirejczykiem od chwili urodzenia. On to zacznie wybawiać Izraelitów z rąk filistyńskich”. Poszła więc kobieta do swego męża i tak rzekła do niego: „Przyszedł do mnie mąż Boży, którego oblicze było jakby oblicze anioła Bożego, pełne dostojeństwa. Nie pytałam go, skąd przybył, a on nie oznajmił mi swego imienia. Rzekł do mnie: ""Oto poczniesz i porodzisz syna, lecz odtąd nie pij wina ani sycery, ani nie jedz nic nieczystego, bo chłopiec ten będzie Bożym nazirejczykiem od chwili urodzenia aż do swojej śmierci"". Porodziła więc owa kobieta syna i nazwała go imieniem Samson. Chłopiec rósł, a Pan mu błogosławił. Duch zaś Pana począł na niego oddziaływać.","Będę opiewał chwałę Twoją, Boże","Bądź dla mnie skałą schronienia   i zamkiem warownym, aby mnie ocalić.  Bo Ty jesteś moją opoką i twierdzą,   Boże mój, wyrwij mnie z rąk niegodziwca.Bo Ty, mój Boże, jesteś moją nadzieją,   Panie, Tobie ufam od lat młodości.  Ty byłeś moją podporą od dnia narodzin,   od łona matki moim opiekunem.Opowiem o potędze Pana,   będę przypominał tylko Twoją sprawiedliwość.  Boże, Ty mnie uczyłeś od mojej młodości   i do tej chwili głoszę Twoje cuda.","Za czasów Heroda, króla Judei, żył pewien kapłan, imieniem Zachariasz, z oddziału Abiasza. Miał on żonę z rodu Aarona, a na imię było jej Elżbieta. Oboje byli sprawiedliwi wobec Boga i postępowali nienagannie według wszystkich przykazań i przepisów Pańskich. Nie mieli jednak dziecka, ponieważ Elżbieta była niepłodna; oboje zaś byli już posunięci w latach. Kiedy Zachariasz w wyznaczonej dla swego oddziału kolei pełnił służbę kapłańską przed Bogiem, jemu zgodnie ze zwyczajem kapłańskim przypadł los, żeby wejść do przybytku Pańskiego i złożyć ofiarę kadzenia. A cały lud modlił się na zewnątrz w czasie kadzenia. Naraz ukazał mu się anioł Pański, stojący po prawej stronie ołtarza kadzenia. Przeraził się na ten widok Zachariasz i strach padł na niego. Lecz anioł rzekł do niego: „Nie bój się, Zachariaszu; twoja prośba została wysłuchana: żona twoja Elżbieta urodzi ci syna, któremu nadasz imię Jan. Będzie to dla ciebie radość i wesele; i wielu z jego narodzenia cieszyć się będzie. Będzie bowiem wielki w oczach Pana; wina i sycery pić nie będzie i już w łonie matki napełniony będzie Duchem Świętym. Wielu spośród dzieci Izraela nawróci do Pana, Boga ich; on sam pójdzie przed Nim w duchu i mocy Eliasza, żeby serca ojców nakłonić ku dzieciom, a nieposłusznych do usposobienia sprawiedliwych, by przygotować Panu lud doskonały”. Na to rzekł Zachariasz do anioła: „Po czym to poznam? Bo ja jestem już stary i moja żona jest w podeszłym wieku”. Odpowiedział mu anioł: „Ja jestem Gabriel, który stoję przed Bogiem. A zostałem posłany, aby mówić z tobą i oznajmić ci tę wieść radosną. A oto będziesz niemy i nie będziesz mógł mówić aż do dnia, w którym się to stanie, bo nie uwierzyłeś moim słowom, które się spełnią w swoim czasie”. Lud tymczasem czekał na Zachariasza. I dziwił się, że tak długo zatrzymuje się w przybytku. Kiedy wyszedł, nie mógł do nich mówić i zrozumieli, że miał widzenie w przybytku. On zaś dawał im znaki i pozostał niemy. A gdy upłynęły dni jego posługi kapłańskiej, powrócił do swego domu. Potem żona jego, Elżbieta, poczęła i pozostawała w ukryciu przez pięć miesięcy i mówiła: „Tak uczynił mi Pan wówczas, kiedy wejrzał łaskawie i zdjął ze mnie hańbę w oczach ludzi”.","W Sorea, w pokoleniu Dana, żył pewien mąż imieniem Manoach. Żona jego była niepłodna i nie rodziła. Anioł Pański ukazał się owej kobiecie mówiąc jej: „Otoś teraz niepłodna i nie rodziłaś, ale poczniesz i porodzisz syna. Lecz odtąd strzeż się: nie pij wina ani sycery i nie jedz nic nieczystego. Oto poczniesz i porodzisz syna, a brzytwa nie dotknie jego głowy, gdyż chłopiec ten będzie Bożym nazirejczykiem od chwili urodzenia. On to zacznie wybawiać Izraelitów z rąk filistyńskich”. Poszła więc kobieta do swego męża i tak rzekła do niego: „Przyszedł do mnie mąż Boży, którego oblicze było jakby oblicze anioła Bożego, pełne dostojeństwa. Nie pytałam go, skąd przybył, a on nie oznajmił mi swego imienia. Rzekł do mnie: ""Oto poczniesz i porodzisz syna, lecz odtąd nie pij wina ani sycery, ani nie jedz nic nieczystego, bo chłopiec ten będzie Bożym nazirejczykiem od chwili urodzenia aż do swojej śmierci"". Porodziła więc owa kobieta syna i nazwała go imieniem Samson. Chłopiec rósł, a Pan mu błogosławił. Duch zaś Pana począł na niego oddziaływać. Będę opiewał chwałę Twoją, Boże Bądź dla mnie skałą schronienia   i zamkiem warownym, aby mnie ocalić.  Bo Ty jesteś moją opoką i twierdzą,   Boże mój, wyrwij mnie z rąk niegodziwca.Bo Ty, mój Boże, jesteś moją nadzieją,   Panie, Tobie ufam od lat młodości.  Ty byłeś moją podporą od dnia narodzin,   od łona matki moim opiekunem.Opowiem o potędze Pana,   będę przypominał tylko Twoją sprawiedliwość.  Boże, Ty mnie uczyłeś od mojej młodości   i do tej chwili głoszę Twoje cuda. Za czasów Heroda, króla Judei, żył pewien kapłan, imieniem Zachariasz, z oddziału Abiasza. Miał on żonę z rodu Aarona, a na imię było jej Elżbieta. Oboje byli sprawiedliwi wobec Boga i postępowali nienagannie według wszystkich przykazań i przepisów Pańskich. Nie mieli jednak dziecka, ponieważ Elżbieta była niepłodna; oboje zaś byli już posunięci w latach. Kiedy Zachariasz w wyznaczonej dla swego oddziału kolei pełnił służbę kapłańską przed Bogiem, jemu zgodnie ze zwyczajem kapłańskim przypadł los, żeby wejść do przybytku Pańskiego i złożyć ofiarę kadzenia. A cały lud modlił się na zewnątrz w czasie kadzenia. Naraz ukazał mu się anioł Pański, stojący po prawej stronie ołtarza kadzenia. Przeraził się na ten widok Zachariasz i strach padł na niego. Lecz anioł rzekł do niego: „Nie bój się, Zachariaszu; twoja prośba została wysłuchana: żona twoja Elżbieta urodzi ci syna, któremu nadasz imię Jan. Będzie to dla ciebie radość i wesele; i wielu z jego narodzenia cieszyć się będzie. Będzie bowiem wielki w oczach Pana; wina i sycery pić nie będzie i już w łonie matki napełniony będzie Duchem Świętym. Wielu spośród dzieci Izraela nawróci do Pana, Boga ich; on sam pójdzie przed Nim w duchu i mocy Eliasza, żeby serca ojców nakłonić ku dzieciom, a nieposłusznych do usposobienia sprawiedliwych, by przygotować Panu lud doskonały”. Na to rzekł Zachariasz do anioła: „Po czym to poznam? Bo ja jestem już stary i moja żona jest w podeszłym wieku”. Odpowiedział mu anioł: „Ja jestem Gabriel, który stoję przed Bogiem. A zostałem posłany, aby mówić z tobą i oznajmić ci tę wieść radosną. A oto będziesz niemy i nie będziesz mógł mówić aż do dnia, w którym się to stanie, bo nie uwierzyłeś moim słowom, które się spełnią w swoim czasie”. Lud tymczasem czekał na Zachariasza. I dziwił się, że tak długo zatrzymuje się w przybytku. Kiedy wyszedł, nie mógł do nich mówić i zrozumieli, że miał widzenie w przybytku. On zaś dawał im znaki i pozostał niemy. A gdy upłynęły dni jego posługi kapłańskiej, powrócił do swego domu. Potem żona jego, Elżbieta, poczęła i pozostawała w ukryciu przez pięć miesięcy i mówiła: „Tak uczynił mi Pan wówczas, kiedy wejrzał łaskawie i zdjął ze mnie hańbę w oczach ludzi”.","['sorea', 'pokoleniu', 'dana', 'żył', 'pewien', 'mąż', 'imieniem', 'manoach', 'żona', 'niepłodna', 'rodziła', 'anioł', 'pański', 'ukazał', 'owej', 'kobiecie', 'mówiąc', 'otoś', 'niepłodna', 'rodziłaś', 'poczniesz', 'porodzisz', 'syna', 'odtąd', 'strzeż', 'pij', 'wina', 'sycery', 'jedz', 'nieczystego', 'poczniesz', 'porodzisz', 'syna', 'brzytwa', 'dotknie', 'głowy', 'chłopiec', 'bożym', 'nazirejczykiem', 'chwili', 'urodzenia', 'zacznie', 'wybawiać', 'izraelitów', 'rąk', 'filistyńskich', 'poszła', 'kobieta', 'swego', 'męża', 'rzekła', 'przyszedł', 'mąż', 'boży', 'oblicze', 'oblicze', 'anioła', 'bożego', 'pełne', 'dostojeństwa', 'pytałam', 'przybył', 'oznajmił', 'swego', 'imienia', 'rzekł', 'poczniesz', 'porodzisz', 'syna', 'odtąd', 'pij', 'wina', 'sycery', 'jedz', 'nieczystego', 'chłopiec', 'bożym', 'nazirejczykiem', 'chwili', 'urodzenia', 'swojej', 'śmierci', 'porodziła', 'owa', 'kobieta', 'syna', 'nazwała', 'imieniem', 'samson', 'chłopiec', 'rósł', 'błogosławił', 'duch', 'począł', 'oddziaływać']","['opiewał', 'chwałę', 'twoją', 'boże']","['bądź', 'skałą', 'schronienia', 'zamkiem', 'warownym', 'ocalić', 'jesteś', 'moją', 'opoką', 'twierdzą', 'boże', 'wyrwij', 'rąk', 'niegodziwcabo', 'boże', 'jesteś', 'moją', 'nadzieją', 'panie', 'ufam', 'młodości', 'byłeś', 'moją', 'podporą', 'dnia', 'narodzin', 'łona', 'matki', 'opiekunemopowiem', 'potędze', 'przypominał', 'twoją', 'sprawiedliwość', 'boże', 'uczyłeś', 'mojej', 'młodości', 'chwili', 'głoszę', 'cuda']","['czasów', 'heroda', 'króla', 'judei', 'żył', 'pewien', 'kapłan', 'imieniem', 'zachariasz', 'oddziału', 'abiasza', 'miał', 'żonę', 'rodu', 'aarona', 'imię', 'elżbieta', 'oboje', 'sprawiedliwi', 'wobec', 'boga', 'postępowali', 'nienagannie', 'przykazań', 'przepisów', 'pańskich', 'mieli', 'dziecka', 'elżbieta', 'niepłodna', 'oboje', 'posunięci', 'latach', 'zachariasz', 'wyznaczonej', 'swego', 'oddziału', 'kolei', 'pełnił', 'służbę', 'kapłańską', 'bogiem', 'zgodnie', 'zwyczajem', 'kapłańskim', 'przypadł', 'los', 'wejść', 'przybytku', 'pańskiego', 'złożyć', 'ofiarę', 'kadzenia', 'lud', 'modlił', 'zewnątrz', 'czasie', 'kadzenia', 'naraz', 'ukazał', 'anioł', 'pański', 'stojący', 'prawej', 'stronie', 'ołtarza', 'kadzenia', 'przeraził', 'widok', 'zachariasz', 'strach', 'padł', 'anioł', 'rzekł', 'bój', 'zachariaszu', 'prośba', 'została', 'wysłuchana', 'żona', 'elżbieta', 'urodzi', 'syna', 'któremu', 'nadasz', 'imię', 'jan', 'radość', 'wesele', 'narodzenia', 'cieszyć', 'wielki', 'oczach', 'wina', 'sycery', 'pić', 'łonie', 'matki', 'napełniony', 'duchem', 'świętym', 'spośród', 'dzieci', 'izraela', 'nawróci', 'boga', 'pójdzie', 'duchu', 'mocy', 'eliasza', 'serca', 'ojców', 'nakłonić', 'dzieciom', 'nieposłusznych', 'usposobienia', 'sprawiedliwych', 'przygotować', 'panu', 'lud', 'doskonały', 'rzekł', 'zachariasz', 'anioła', 'czym', 'poznam', 'stary', 'żona', 'podeszłym', 'wieku', 'odpowiedział', 'anioł', 'gabriel', 'stoję', 'bogiem', 'zostałem', 'posłany', 'mówić', 'oznajmić', 'tę', 'wieść', 'radosną', 'będziesz', 'niemy', 'będziesz', 'mógł', 'mówić', 'dnia', 'stanie', 'uwierzyłeś', 'słowom', 'spełnią', 'swoim', 'czasie', 'lud', 'tymczasem', 'czekał', 'zachariasza', 'dziwił', 'długo', 'zatrzymuje', 'przybytku', 'wyszedł', 'mógł', 'mówić', 'zrozumieli', 'miał', 'widzenie', 'przybytku', 'dawał', 'znaki', 'pozostał', 'niemy', 'upłynęły', 'dni', 'posługi', 'kapłańskiej', 'powrócił', 'swego', 'domu', 'potem', 'żona', 'elżbieta', 'poczęła', 'pozostawała', 'ukryciu', 'pięć', 'miesięcy', 'mówiła', 'uczynił', 'wówczas', 'wejrzał', 'łaskawie', 'zdjął', 'hańbę', 'oczach', 'ludzi']","['sorea', 'pokoleniu', 'dana', 'żył', 'pewien', 'mąż', 'imieniem', 'manoach', 'żona', 'niepłodna', 'rodziła', 'anioł', 'pański', 'ukazał', 'owej', 'kobiecie', 'mówiąc', 'otoś', 'niepłodna', 'rodziłaś', 'poczniesz', 'porodzisz', 'syna', 'odtąd', 'strzeż', 'pij', 'wina', 'sycery', 'jedz', 'nieczystego', 'poczniesz', 'porodzisz', 'syna', 'brzytwa', 'dotknie', 'głowy', 'chłopiec', 'bożym', 'nazirejczykiem', 'chwili', 'urodzenia', 'zacznie', 'wybawiać', 'izraelitów', 'rąk', 'filistyńskich', 'poszła', 'kobieta', 'swego', 'męża', 'rzekła', 'przyszedł', 'mąż', 'boży', 'oblicze', 'oblicze', 'anioła', 'bożego', 'pełne', 'dostojeństwa', 'pytałam', 'przybył', 'oznajmił', 'swego', 'imienia', 'rzekł', 'poczniesz', 'porodzisz', 'syna', 'odtąd', 'pij', 'wina', 'sycery', 'jedz', 'nieczystego', 'chłopiec', 'bożym', 'nazirejczykiem', 'chwili', 'urodzenia', 'swojej', 'śmierci', 'porodziła', 'owa', 'kobieta', 'syna', 'nazwała', 'imieniem', 'samson', 'chłopiec', 'rósł', 'błogosławił', 'duch', 'począł', 'oddziaływać', 'opiewał', 'chwałę', 'twoją', 'boże', 'bądź', 'skałą', 'schronienia', 'zamkiem', 'warownym', 'ocalić', 'jesteś', 'moją', 'opoką', 'twierdzą', 'boże', 'wyrwij', 'rąk', 'niegodziwcabo', 'boże', 'jesteś', 'moją', 'nadzieją', 'panie', 'ufam', 'młodości', 'byłeś', 'moją', 'podporą', 'dnia', 'narodzin', 'łona', 'matki', 'opiekunemopowiem', 'potędze', 'przypominał', 'twoją', 'sprawiedliwość', 'boże', 'uczyłeś', 'mojej', 'młodości', 'chwili', 'głoszę', 'cuda', 'czasów', 'heroda', 'króla', 'judei', 'żył', 'pewien', 'kapłan', 'imieniem', 'zachariasz', 'oddziału', 'abiasza', 'miał', 'żonę', 'rodu', 'aarona', 'imię', 'elżbieta', 'oboje', 'sprawiedliwi', 'wobec', 'boga', 'postępowali', 'nienagannie', 'przykazań', 'przepisów', 'pańskich', 'mieli', 'dziecka', 'elżbieta', 'niepłodna', 'oboje', 'posunięci', 'latach', 'zachariasz', 'wyznaczonej', 'swego', 'oddziału', 'kolei', 'pełnił', 'służbę', 'kapłańską', 'bogiem', 'zgodnie', 'zwyczajem', 'kapłańskim', 'przypadł', 'los', 'wejść', 'przybytku', 'pańskiego', 'złożyć', 'ofiarę', 'kadzenia', 'lud', 'modlił', 'zewnątrz', 'czasie', 'kadzenia', 'naraz', 'ukazał', 'anioł', 'pański', 'stojący', 'prawej', 'stronie', 'ołtarza', 'kadzenia', 'przeraził', 'widok', 'zachariasz', 'strach', 'padł', 'anioł', 'rzekł', 'bój', 'zachariaszu', 'prośba', 'została', 'wysłuchana', 'żona', 'elżbieta', 'urodzi', 'syna', 'któremu', 'nadasz', 'imię', 'jan', 'radość', 'wesele', 'narodzenia', 'cieszyć', 'wielki', 'oczach', 'wina', 'sycery', 'pić', 'łonie', 'matki', 'napełniony', 'duchem', 'świętym', 'spośród', 'dzieci', 'izraela', 'nawróci', 'boga', 'pójdzie', 'duchu', 'mocy', 'eliasza', 'serca', 'ojców', 'nakłonić', 'dzieciom', 'nieposłusznych', 'usposobienia', 'sprawiedliwych', 'przygotować', 'panu', 'lud', 'doskonały', 'rzekł', 'zachariasz', 'anioła', 'czym', 'poznam', 'stary', 'żona', 'podeszłym', 'wieku', 'odpowiedział', 'anioł', 'gabriel', 'stoję', 'bogiem', 'zostałem', 'posłany', 'mówić', 'oznajmić', 'tę', 'wieść', 'radosną', 'będziesz', 'niemy', 'będziesz', 'mógł', 'mówić', 'dnia', 'stanie', 'uwierzyłeś', 'słowom', 'spełnią', 'swoim', 'czasie', 'lud', 'tymczasem', 'czekał', 'zachariasza', 'dziwił', 'długo', 'zatrzymuje', 'przybytku', 'wyszedł', 'mógł', 'mówić', 'zrozumieli', 'miał', 'widzenie', 'przybytku', 'dawał', 'znaki', 'pozostał', 'niemy', 'upłynęły', 'dni', 'posługi', 'kapłańskiej', 'powrócił', 'swego', 'domu', 'potem', 'żona', 'elżbieta', 'poczęła', 'pozostawała', 'ukryciu', 'pięć', 'miesięcy', 'mówiła', 'uczynił', 'wówczas', 'wejrzał', 'łaskawie', 'zdjął', 'hańbę', 'oczach', 'ludzi']"
