alleluja,amen,bo,boga,bogiem,bogu,boże,bóg,chcę,chwała,chwałę,ci,ciebie,cię,czas,cześć,daj,dobry,duch,duchu,dzień,gdy,go,imię,jak,jego,jesteś,jezu,jezus,królem,miłości,miłość,moc,mym,nie,nieba,niech,nim,on,pan,pana,panem,panie,panu,pieśń,przyjdź,serca,serce,siebie,swe,swej,swym,swą,tobie,tobą,twa,twe,twej,twych,twym,twój,ty,tyś,wciąż,wieki,ziemi,świat,święty,życie
0.0,0.0,0.0,0.7375735245897647,0.0,0.15351564299988346,0.0,0.21930584182197146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15687223629757968,0.0,0.0,0.0,0.0,0.2752034691309207,0.0,0.0,0.0,0.0,0.13545074875848054,0.16052106094776417,0.0,0.0,0.13145391356846875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09379870647863814,0.0,0.0,0.0,0.15040792301055478,0.0,0.16052106094776417,0.0,0.30081584602110956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14226598484127176,0.0,0.13340473179073173,0.0,0.14480828013810731,0.1260932173788538,0.0
0.0,0.0,0.0,0.33205981559072495,0.3613374946341029,0.0,0.6519351521655368,0.0,0.0,0.0,0.17656194304578557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17656194304578557,0.1601223983653044,0.0,0.0,0.0,0.3097454360918415,0.0,0.0,0.283839435081076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10557178415964982,0.1727840493365923,0.0,0.0,0.16928626609139633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21700794032212425,0.0,0.15190709566995958,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5446397369941938,0.0,0.0,0.0,0.0,0.13403148661689013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31767822074593316,0.0,0.14883193858167018,0.0,0.0,0.0,0.0,0.0,0.0,0.15883911037296658,0.0,0.0,0.0,0.0,0.0,0.0,0.1320069079538387,0.6209140734207792,0.0,0.0,0.25293187703916575
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.633327916071701,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2649177637834768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2280411810784855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2955560188085019,0.0,0.0,0.2895728803499783,0.0,0.0,0.0,0.0,0.0,0.2955560188085019,0.0,0.0,0.0,0.26077657797855514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3020183006479308,0.0,0.24276098903665028,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.27843544593504166,0.4216783722976578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3016318612905717,0.0,0.0,0.0,0.0,0.0,0.26457879541576573,0.0,0.0,0.0,0.0,0.2604429083532637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1803549123130346,0.2951778480892874,0.0,0.0,0.0,0.0,0.3086477730716103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.256508853986604,0.0,0.0,0.4849007415429716,0.0
0.0,0.0,0.0,0.0,0.35469129941549055,0.0,0.0,0.24229180129377453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3040481899800722,0.0,0.0,0.0,0.0,0.29929531863473385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33921195495930745,0.0,0.33921195495930745,0.0,0.0,0.0,0.0,0.35469129941549055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34662876638168283,0.0,0.2786186862678377,0.28240127988619523
0.0,0.0,0.0,0.16449651350214345,0.0,0.17118827614891724,0.0,0.4891044101729609,0.0,0.17118827614891724,0.1749312785500866,0.0,0.0,0.0,0.17900015381014875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15344236766399055,0.0,0.0,0.0,0.0,0.15104376159934385,0.17900015381014875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5135648284467518,0.161478526647287,0.0,0.1677227972092426,0.0,0.0,0.161478526647287,0.3354455944184852,0.0,0.17118827614891724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14876220832675247,0.0,0.161478526647287,0.0,0.0
0.0,0.0,0.0,0.6014812981735953,0.0,0.0,0.0,0.4471024177199807,0.0,0.20864990667174835,0.21321200122194256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36819421831945626,0.0,0.0,0.0,0.17866483350962414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4264240024438851,0.0,0.0,0.0
0.0,0.0,0.0,0.3265998133716927,0.0,0.0,0.32060774750616605,0.7283197331094774,0.0,0.1699429910437878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15232617268121298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10383588553923578,0.1699429910437878,0.0,0.0,0.0,0.0,0.0,0.0,0.16650272124461507,0.0,0.1699429910437878,0.0,0.0,0.0,0.2998900298799424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14768005850666596,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.22560144917540592,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2204732739440172,0.2204732739440172,0.0,0.0,0.20732189911828572,0.0,0.0,0.1933898925395172,0.0,0.0,0.0,0.0,0.19036682807467237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5273108460015832,0.43151162006259297,0.20351820290040384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.187491290184278,0.4409465478880344,0.0,0.0,0.0
