,Dzień tygodnia,Pierwsze czytanie,Psalm,Werset przed Ewangelią,Ewangelia
2019-05-22,Wednesday,"<div class=""poetry"">
Some who had come down from Judea were instructing the brothers,<br/>""Unless you are circumcised according to the Mosaic practice,<br/>you cannot be saved.""<br/>Because there arose no little dissension and debate<br/>by Paul and Barnabas with them,<br/>it was decided that Paul, Barnabas, and some of the others<br/>should go up to Jerusalem to the Apostles and presbyters<br/>about this question. <br/>They were sent on their journey by the Church,<br/>and passed through Phoenicia and Samaria<br/>telling of the conversion of the Gentiles,<br/>and brought great joy to all the brethren.<br/>When they arrived in Jerusalem,<br/>they were welcomed by the Church,<br/>as well as by the Apostles and the presbyters,<br/>and they reported what God had done with them.<br/>But some from the party of the Pharisees who had become believers<br/>stood up and said, ""It is necessary to circumcise them<br/>and direct them to observe the Mosaic law.""<br/><br/>The Apostles and the presbyters met together to see about this matter. <br/>
</div>","<div class=""poetry"">
R.(see 1) <strong>Let us go rejoicing to the house of the Lord.</strong><br/>or:<br/>R.<strong> Alleluia.</strong><br/>I rejoiced because they said to me,<br/>""We will go up to the house of the LORD.""<br/>And now we have set foot<br/>within your gates, O Jerusalem.<br/>R. <strong>Let us go rejoicing to the house of the Lord.</strong><br/>or:<br/>R. <strong>Alleluia.</strong><br/>Jerusalem, built as a city<br/>with compact unity.<br/>To it the tribes go up,<br/>the tribes of the LORD.<br/>R. <strong>Let us go rejoicing to the house of the Lord.</strong><br/>or:<br/>R. <strong>Alleluia.</strong><br/>According to the decree for Israel,<br/>to give thanks to the name of the LORD.<br/>In it are set up judgment seats,<br/>seats for the house of David.<br/>R. <strong>Let us go rejoicing to the house of the Lord.</strong><br/>or:<br/>R. <strong>Alleluia.</strong><br/>
</div>","<div class=""poetry"">
R. <strong>Alleluia, alleluia.</strong><br/>Remain in me, as I remain in you, says the Lord;<br/>whoever remains in me will bear much fruit.<br/>R. <strong>Alleluia, alleluia.</strong><br/>
</div>","<div class=""poetry"">
Jesus said to his disciples:<br/>""I am the true vine, and my Father is the vine grower.<br/>He takes away every branch in me that does not bear fruit,<br/>and everyone that does he prunes so that it bears more fruit.<br/>You are already pruned because of the word that I spoke to you.<br/>Remain in me, as I remain in you.<br/>Just as a branch cannot bear fruit on its own<br/>unless it remains on the vine,<br/>so neither can you unless you remain in me.<br/>I am the vine, you are the branches.<br/>Whoever remains in me and I in him will bear much fruit,<br/>because without me you can do nothing.<br/>Anyone who does not remain in me<br/>will be thrown out like a branch and wither;<br/>people will gather them and throw them into a fire<br/>and they will be burned.<br/>If you remain in me and my words remain in you,<br/>ask for whatever you want and it will be done for you.<br/>By this is my Father glorified,<br/>that you bear much fruit and become my disciples.""<br/><br/><br/><br/><h3>For the readings of the Optional Memorial of Saint Rita of Cascia, please go <a class=""CP___PAGEID_262860"" href=""/bible/readings/0522-memorial-rita-cascia.cfm"">here</a>.</h3><br/><br/><br/><br/><br/><br/>
</div>"
2019-05-21,Tuesday,"<div class=""poetry"">
In those days, some Jews from Antioch and Iconium<br/>arrived and won over the crowds. <br/>They stoned Paul and dragged him out of the city,<br/>supposing that he was dead.<br/>But when the disciples gathered around him,<br/>he got up and entered the city. <br/>On the following day he left with Barnabas for Derbe.<br/><br/>After they had proclaimed the good news to that city<br/>and made a considerable number of disciples,<br/>they returned to Lystra and to Iconium and to Antioch.<br/>They strengthened the spirits of the disciples<br/>and exhorted them to persevere in the faith, saying,<br/>""It is necessary for us to undergo many hardships<br/>to enter the Kingdom of God.""<br/>They appointed presbyters for them in each Church and,<br/>with prayer and fasting, commended them to the Lord<br/>in whom they had put their faith.<br/>Then they traveled through Pisidia and reached Pamphylia.<br/>After proclaiming the word at Perga they went down to Attalia.<br/>From there they sailed to Antioch,<br/>where they had been commended to the grace of God<br/>for the work they had now accomplished. <br/>And when they arrived, they called the Church together<br/>and reported what God had done with them<br/>and how he had opened the door of faith to the Gentiles.<br/>Then they spent no little time with the disciples.<br/>
</div>","<div class=""poetry"">
R.(see 12) <strong>Your friends make known, O Lord, the glorious splendor of your kingdom.</strong><br/>or:<br/>R. <strong>Alleluia.</strong><br/>Let all your works give you thanks, O LORD,<br/>and let your faithful ones bless you.<br/>Let them discourse of the glory of your kingdom<br/>and speak of your might.<br/>R.<strong> Your friends make known, O Lord, the glorious splendor of your kingdom.</strong><br/>or:<br/>R. <strong>Alleluia.</strong><br/>Making known to men your might<br/>and the glorious splendor of your kingdom.<br/>Your kingdom is a kingdom for all ages,<br/>and your dominion endures through all generations.<br/>R. <strong>Your friends make known, O Lord, the glorious splendor of your kingdom.</strong><br/>or:<br/>R.<strong> Alleluia.</strong><br/>May my mouth speak the praise of the LORD,<br/>and may all flesh bless his holy name forever and ever.<br/>R.<strong> Your friends make known, O Lord, the glorious splendor of your kingdom.</strong><br/>or:<br/>R. <strong>Alleluia.</strong><br/>
</div>","<div class=""poetry"">
R. <strong>Alleluia, alleluia.</strong><br/>Christ had to suffer and to rise from the dead,<br/>and so enter into his glory.<br/>R. <strong>Alleluia, alleluia.</strong><br/>
</div>","<div class=""poetry"">
Jesus said to his disciples:<br/>""Peace I leave with you; my peace I give to you.<br/>Not as the world gives do I give it to you.<br/>Do not let your hearts be troubled or afraid.<br/>You heard me tell you,<br/>'I am going away and I will come back to you.'<br/>If you loved me,<br/>you would rejoice that I am going to the Father;<br/>for the Father is greater than I.<br/>And now I have told you this before it happens,<br/>so that when it happens you may believe.<br/>I will no longer speak much with you,<br/>for the ruler of the world is coming.<br/>He has no power over me,<br/>but the world must know that I love the Father<br/>and that I do just as the Father has commanded me.""<br/><br/><br/><br/><h3>For the readings of the Optional Memorial of Saints Christopher Magallanes and Companions, please go <a class=""CP___PAGEID_262855"" href=""/bible/readings/0521-memorial-christopher-magallanes.cfm"">here</a>.</h3><br/><br/>
</div>"
2019-05-20,Monday,"<div class=""poetry"">
There was an attempt in Iconium<br/>by both the Gentiles and the Jews,<br/>together with their leaders,<br/>to attack and stone Paul and Barnabas.<br/>They realized it,<br/>and fled to the Lycaonian cities of Lystra and Derbe<br/>and to the surrounding countryside,<br/>where they continued to proclaim the Good News.<br/><br/>At Lystra there was a crippled man, lame from birth,<br/>who had never walked. <br/>He listened to Paul speaking, who looked intently at him,<br/>saw that he had the faith to be healed,<br/>and called out in a loud voice, ""Stand up straight on your feet.""<br/>He jumped up and began to walk about.<br/>When the crowds saw what Paul had done,<br/>they cried out in Lycaonian,<br/>""The gods have come down to us in human form."" <br/>They called Barnabas ""Zeus"" and Paul ""Hermes,""<br/>because he was the chief speaker.<br/>And the priest of Zeus, whose temple was at the entrance to the city,<br/>brought oxen and garlands to the gates,<br/>for he together with the people intended to offer sacrifice.<br/><br/>The Apostles Barnabas and Paul tore their garments<br/>when they heard this and rushed out into the crowd, shouting,<br/>""Men, why are you doing this? <br/>We are of the same nature as you, human beings. <br/>We proclaim to you good news<br/>that you should turn from these idols to the living God,<br/><em>who made heaven and earth and sea and all that is in them.</em><br/>In past generations he allowed all Gentiles to go their own ways;<br/>yet, in bestowing his goodness,<br/>he did not leave himself without witness,<br/>for he gave you rains from heaven and fruitful seasons,<br/>and filled you with nourishment and gladness for your hearts.""<br/>Even with these words, they scarcely restrained the crowds<br/>from offering sacrifice to them.<br/>
</div>","<div class=""poetry"">
R.(1ab) <strong>Not to us, O Lord, but to your name give the glory.</strong><br/>or:<br/>R. <strong>Alleluia.</strong><br/>Not to us, O LORD, not to us<br/>but to your name give glory<br/>because of your mercy, because of your truth.<br/>Why should the pagans say,<br/>""Where is their God?""<br/>R. <strong>Not to us, O Lord, but to your name give the glory.</strong><br/>or:<br/>R. <strong>Alleluia.</strong><br/>Our God is in heaven;<br/>whatever he wills, he does.<br/>Their idols are silver and gold,<br/>the handiwork of men.<br/>R. <strong>Not to us, O Lord, but to your name give the glory.</strong><br/>or:<br/>R.<strong> Alleluia.</strong><br/>May you be blessed by the LORD,<br/>who made heaven and earth.<br/>Heaven is the heaven of the LORD,<br/>but the earth he has given to the children of men.<br/>R. <strong>Not to us, O Lord, but to your name give the glory.</strong><br/>or:<br/>R. <strong>Alleluia.</strong><br/>
</div>","<div class=""poetry"">
R. <strong>Alleluia, alleluia.</strong><br/>The Holy Spirit will teach you everything<br/>and remind you of all I told you.<br/>R. <strong>Alleluia, alleluia.</strong><br/>
</div>","<div class=""poetry"">Jesus said to his disciples:<br>
""Whoever has my commandments and observes them<br>
is the one who loves me.<br>
Whoever loves me will be loved by my Father,<br>
and I will love him and reveal myself to him.""<br>
Judas, not the Iscariot, said to him,<br>
""Master, then what happened that you will reveal yourself to us<br>
and not to the world?""<br>
Jesus answered and said to him,<br>
""Whoever loves me will keep my word,<br>
and my Father will love him,<br>
and we will come to him and make our dwelling with him.<br>
Whoever does not love me does not keep my words;<br>
yet the word you hear is not mine<br>
but that of the Father who sent me.<br>
<br>
""I have told you this while I am with you.<br>
The Advocate, the Holy Spirit<br>
whom the Father will send in my name--<br>
he will teach you everything<br>
and remind you of all that I told you.""<br>
 
<h3>For the readings of the Optional Memorial of Saint Bernardine of Siena, please go <a class=""CP___PAGEID_262852"" href=""/bible/readings/0520-memorial-bernardine-siena.cfm"">here</a>.</h3>
</br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></div>"
2019-05-19,Sunday,"<div class=""poetry"">
After Paul and Barnabas had proclaimed the good news<br/>to that city<br/>and made a considerable number of disciples,<br/>they returned to Lystra and to Iconium and to Antioch.<br/>They strengthened the spirits of the disciples<br/>and exhorted them to persevere in the faith, saying,<br/>""It is necessary for us to undergo many hardships<br/>to enter the kingdom of God.""<br/>They appointed elders for them in each church and,<br/>with prayer and fasting, commended them to the Lord<br/>in whom they had put their faith.<br/>Then they traveled through Pisidia and reached Pamphylia.<br/>After proclaiming the word at Perga they went down to Attalia.<br/>From there they sailed to Antioch,<br/>where they had been commended to the grace of God<br/>for the work they had now accomplished. <br/>And when they arrived, they called the church together<br/>and reported what God had done with them<br/>and how he had opened the door of faith to the Gentiles.<br/>
</div>","<div class=""poetry"">
R. (cf. 1)<strong> I will praise your name for ever, my king and my God.</strong><br/>or:<br/>R. <strong>Alleluia.</strong><br/>The LORD is gracious and merciful,<br/>slow to anger and of great kindness.<br/>The LORD is good to all<br/>and compassionate toward all his works.<br/>R.<strong> I will praise your name for ever, my king and my God.</strong><br/>or:<br/>R. <strong>Alleluia.</strong><br/>Let all your works give you thanks, O LORD,<br/>and let your faithful ones bless you.<br/>Let them discourse of the glory of your kingdom<br/> and speak of your might.<br/>R. <strong>I will praise your name for ever, my king and my God.</strong><br/>or:<br/>R. <strong>Alleluia.</strong><br/>Let them make known your might to the children of Adam,<br/>and the glorious splendor of your kingdom.<br/>Your kingdom is a kingdom for all ages,<br/>and your dominion endures through all generations.<br/>R. <strong>I will praise your name for ever, my king and my God.</strong><br/>or:<br/>R. <strong>Alleluia.</strong><br/>
</div>","<div class=""poetry"">
Then I, John, saw a new heaven and a new earth.<br/>The former heaven and the former earth had passed away,<br/>and the sea was no more.<br/>I also saw the holy city, a new Jerusalem,<br/>coming down out of heaven from God,<br/>prepared as a bride adorned for her husband.<br/>I heard a loud voice from the throne saying,<br/>""Behold, God's dwelling is with the human race.<br/>He will dwell with them and they will be his people<br/>and God himself will always be with them as their God.<br/>He will wipe every tear from their eyes,<br/>and there shall be no more death or mourning, wailing or pain,<br/>for the old order has passed away.""<br/><br/>The One who sat on the throne said,<br/>""Behold, I make all things new.""<br/><h4>Alleluia <a href=""/bible/readings/bible/john/13:34"">Jn 13:34</a></h4>R. <strong>Alleluia, alleluia.</strong><br/>I give you a new commandment, says the Lord:<br/>love one another as I have loved you.<br/>R. <strong>Alleluia, alleluia.</strong><br/>
</div>","<div class=""poetry"">
When Judas had left them, Jesus said,<br/>""Now is the Son of Man glorified, and God is glorified in him.<br/>If God is glorified in him,<br/>God will also glorify him in himself,<br/>and God will glorify him at once.<br/>My children, I will be with you only a little while longer.<br/>I give you a new commandment: love one another.<br/>As I have loved you, so you also should love one another.<br/>This is how all will know that you are my disciples,<br/>if you have love for one another.""<br/>
</div>"
2019-05-18,Saturday,"<div class=""poetry"">
On the following sabbath<br/>almost the whole city<br/>gathered to hear the word of the Lord. <br/>When the Jews saw the crowds, they were filled with jealousy<br/>and with violent abuse contradicted what Paul said. <br/>Both Paul and Barnabas spoke out boldly and said,<br/>""It was necessary that the word of God be spoken to you first,<br/>but since you reject it<br/>and condemn yourselves as unworthy of eternal life,<br/>we now turn to the Gentiles. <br/>For so the Lord has commanded us,<br/><em>I have made you a light to the Gentiles,<br/>that you may be an instrument of salvation<br/>to the ends of the earth.""</em><br/><br/>The Gentiles were delighted when they heard this<br/>and glorified the word of the Lord. <br/>All who were destined for eternal life came to believe,<br/>and the word of the Lord continued to spread<br/>through the whole region. <br/>The Jews, however, incited the women of prominence who were worshipers<br/>and the leading men of the city,<br/>stirred up a persecution against Paul and Barnabas,<br/>and expelled them from their territory. <br/>So they shook the dust from their feet in protest against them<br/>and went to Iconium. <br/>The disciples were filled with joy and the Holy Spirit.<br/>
</div>","<div class=""poetry"">
R.(3cd) <strong>All the ends of the earth have seen the saving power of God.</strong><br/>or:<br/>R. <strong>Alleluia.</strong><br/>Sing to the LORD a new song,<br/>for he has done wondrous deeds;<br/>His right hand has won victory for him,<br/>his holy arm.<br/>R. <strong>All the ends of the earth have seen the saving power of God.</strong><br/>or:<br/>R. <strong>Alleluia.</strong><br/>The LORD has made his salvation known:<br/>in the sight of the nations he has revealed his justice.<br/>He has remembered his kindness and his faithfulness<br/>toward the house of Israel.<br/>R. <strong>All the ends of the earth have seen the saving power of God.</strong><br/>or:<br/>R.<strong> Alleluia.</strong><br/>All the ends of the earth have seen<br/>the salvation by our God.<br/>Sing joyfully to the LORD, all you lands;<br/>break into song; sing praise.<br/>R. <strong>All the ends of the earth have seen the saving power of God.</strong><br/>or:<br/>R. <strong>Alleluia.</strong><br/>
</div>","<div class=""poetry"">
R. <strong>Alleluia, alleluia.</strong><br/>If you remain in my word, you will truly be my disciples,<br/>and you will know the truth, says the Lord.<br/>R. <strong>Alleluia, alleluia.</strong><br/>
</div>","<div class=""poetry"">
Jesus said to his disciples: <br/>""If you know me, then you will also know my Father. <br/>From now on you do know him and have seen him."" <br/>Philip said to Jesus, <br/>""Master, show us the Father, and that will be enough for us."" <br/>Jesus said to him, ""Have I been with you for so long a time<br/>and you still do not know me, Philip? <br/>Whoever has seen me has seen the Father. <br/>How can you say, 'Show us the Father'? <br/>Do you not believe that I am in the Father and the Father is in me? <br/>The words that I speak to you I do not speak on my own. <br/>The Father who dwells in me is doing his works. <br/>Believe me that I am in the Father and the Father is in me,<br/>or else, believe because of the works themselves. <br/>Amen, amen, I say to you,<br/>whoever believes in me will do the works that I do,<br/>and will do greater ones than these,<br/>because I am going to the Father. <br/>And whatever you ask in my name, I will do,<br/>so that the Father may be glorified in the Son. <br/>If you ask anything of me in my name, I will do it.""<br/><br/><br/><h3>For the readings of the Optional Memorial of Saint John I, please go <a class=""CP___PAGEID_262757"" href=""/bible/readings/0518-memorial-john-i.cfm"">here</a>.</h3><br/>
</div>"
2019-05-17,Friday,"<div class=""poetry"">
When Paul came to Antioch in Pisidia, he said in the synagogue:<br/>""My brothers, children of the family of Abraham,<br/>and those others among you who are God-fearing,<br/>to us this word of salvation has been sent. <br/>The inhabitants of Jerusalem and their leaders failed to recognize him,<br/>and by condemning him they fulfilled the oracles of the prophets<br/>that are read sabbath after sabbath. <br/>For even though they found no grounds for a death sentence,<br/>they asked Pilate to have him put to death,<br/>and when they had accomplished all that was written about him,<br/>they took him down from the tree and placed him in a tomb. <br/>But God raised him from the dead,<br/>and for many days he appeared to those<br/>who had come up with him from Galilee to Jerusalem. <br/>These are now his witnesses before the people.<br/>We ourselves are proclaiming this good news to you<br/>that what God promised our fathers<br/>he has brought to fulfillment for us, their children, by raising up Jesus,<br/>as it is written in the second psalm,<br/><em>You are my Son; this day I have begotten you.""</em><br/>
</div>","<div class=""poetry"">
R.(7bc)<strong> You are my Son; this day I have begotten you.</strong><br/>or:<br/>R. <strong>Alleluia.</strong><br/>""I myself have set up my king<br/>on Zion, my holy mountain.""<br/>I will proclaim the decree of the LORD:<br/>The LORD said to me, ""You are my Son;<br/>this day I have begotten you.""<br/>R.<strong> You are my Son; this day I have begotten you.</strong><br/>or:<br/>R.  <strong>Alleluia.</strong><br/>""Ask of me and I will give you<br/>the nations for an inheritance<br/>and the ends of the earth for your possession.<br/>You shall rule them with an iron rod;<br/>you shall shatter them like an earthen dish.""<br/>R. <strong>You are my Son; this day I have begotten you</strong>.<br/>or:<br/>R. <strong>Alleluia.</strong><br/>And now, O kings, give heed;<br/>take warning, you rulers of the earth.<br/>Serve the LORD with fear, and rejoice before him;<br/>with trembling rejoice.<br/>R. <strong>You are my Son; this day I have begotten you.</strong><br/>or:<br/>R. <strong>Alleluia.</strong><br/>
</div>","<div class=""poetry"">
R. <strong>Alleluia, alleluia.</strong><br/>I am the way and the truth and the life, says the Lord;<br/>no one comes to the Father except through me.<br/>R. <strong>Alleluia, alleluia.</strong><br/>
</div>","<div class=""poetry"">
Jesus said to his disciples:<br/>""Do not let your hearts be troubled. <br/>You have faith in God; have faith also in me. <br/>In my Father's house there are many dwelling places.<br/>If there were not,<br/>would I have told you that I am going to prepare a place for you?<br/>And if I go and prepare a place for you,<br/>I will come back again and take you to myself,<br/>so that where I am you also may be.<br/>Where I am going you know the way."" <br/>Thomas said to him, <br/>""Master, we do not know where you are going;<br/>how can we know the way?"" <br/>Jesus said to him, ""I am the way and the truth and the life. <br/>No one comes to the Father except through me.""<br/><br/><br/><br/>
</div>"
2019-05-16,Thursday,"<div class=""poetry"">
From Paphos, Paul and his companions<br/>set sail and arrived at Perga in Pamphylia. <br/>But John left them and returned to Jerusalem. <br/>They continued on from Perga and reached Antioch in Pisidia. <br/>On the sabbath they entered into the synagogue and took their seats. <br/>After the reading of the law and the prophets,<br/>the synagogue officials sent word to them,<br/>""My brothers, if one of you has a word of exhortation<br/>for the people, please speak.""<br/><br/>So Paul got up, motioned with his hand, and said,<br/>""Fellow children of Israel and you others who are God-fearing, listen.<br/>The God of this people Israel chose our ancestors<br/>and exalted the people during their sojourn in the land of Egypt. <br/>With uplifted arm he led them out,<br/>and for about forty years he put up with them in the desert.<br/>When he had destroyed seven nations in the land of Canaan,<br/>he gave them their land as an inheritance<br/>at the end of about four hundred and fifty years.<br/>After these things he provided judges up to Samuel the prophet. <br/>Then they asked for a king.<br/>God gave them Saul, son of Kish,<br/>a man from the tribe of Benjamin, for forty years. <br/>Then he removed him and raised up David as their king;<br/>of him he testified,<br/><em>I have found David, son of Jesse, a man after my own heart;<br/>he will carry out my every wish.</em><br/>From this man's descendants God, according to his promise,<br/>has brought to Israel a savior, Jesus. <br/>John heralded his coming by proclaiming a baptism of repentance<br/>to all the people of Israel;<br/>and as John was completing his course, he would say,<br/>'What do you suppose that I am? I am not he.<br/>Behold, one is coming after me;<br/>I am not worthy to unfasten the sandals of his feet.'""<br/>
</div>","<div class=""poetry"">
R.(2) <strong>For ever I will sing the goodness of the Lord.</strong><br/>or:<br/>R. <strong>Alleluia.</strong><br/>The favors of the LORD I will sing forever;<br/>through all generations my mouth shall proclaim your faithfulness.<br/>For you have said, ""My kindness is established forever"";<br/>in heaven you have confirmed your faithfulness.<br/>R.<strong> For ever I will sing the goodness of the Lord.</strong><br/>or:<br/>R. <strong>Alleluia.</strong><br/>""I have found David, my servant;<br/>with my holy oil I have anointed him,<br/>That my hand may be always with him,<br/>and that my arm may make him strong.""<br/>R. <strong>For ever I will sing the goodness of the Lord.</strong><br/>or:<br/>R.<strong> Alleluia.</strong><br/>""My faithfulness and my mercy shall be with him,<br/>and through my name shall his horn be exalted.<br/>He shall say of me, 'You are my father,<br/>my God, the Rock, my savior.'""<br/>R. <strong>For ever I will sing the goodness of the Lord.</strong><br/>or:<br/>R. <strong>Alleluia.</strong><br/>
</div>","<div class=""poetry"">
R. <strong>Alleluia, alleluia.</strong><br/>Jesus Christ, you are the faithful witness,<br/>the firstborn of the dead,<br/>you have loved us and freed us from our sins by your Blood.<br/>R. <strong>Alleluia, alleluia</strong><br/>
</div>","<div class=""poetry"">
When Jesus had washed the disciples' feet, he said to them:<br/>""Amen, amen, I say to you, no slave is greater than his master<br/>nor any messenger greater than the one who sent him.<br/>If you understand this, blessed are you if you do it.<br/>I am not speaking of all of you.<br/>I know those whom I have chosen.<br/>But so that the Scripture might be fulfilled,<br/><em>The one who ate my food has raised his heel against me.</em><br/>From now on I am telling you before it happens,<br/>so that when it happens you may believe that I AM. <br/>Amen, amen, I say to you, whoever receives the one I send<br/>receives me, and whoever receives me receives the one who sent me.""<br/><br/><br/><br/><br/>
</div>"
2019-05-15,Wednesday,"<div class=""poetry"">
The word of God continued to spread and grow. <br/><br/>After Barnabas and Saul completed their relief mission,<br/>they returned to Jerusalem,<br/>taking with them John, who is called Mark. <br/><br/>Now there were in the Church at Antioch prophets and teachers:<br/>Barnabas, Symeon who was called Niger, Lucius of Cyrene,<br/>Manaen who was a close friend of Herod the tetrarch, and Saul. <br/>While they were worshiping the Lord and fasting, the Holy Spirit said,<br/>""Set apart for me Barnabas and Saul<br/>for the work to which I have called them."" <br/>Then, completing their fasting and prayer,<br/>they laid hands on them and sent them off.<br/><br/>So they, sent forth by the Holy Spirit,<br/>went down to Seleucia<br/>and from there sailed to Cyprus. <br/>When they arrived in Salamis,<br/>they proclaimed the word of God in the Jewish synagogues. <br/>
</div>","<div class=""poetry"">R.(4) <strong>O God, let all the nations praise you!</strong><br/>or:<br/>R. <strong>Alleluia.</strong><br/>May God have pity on us and bless us;<br/>may he let his face shine upon us.<br/>So may your way be known upon earth;<br/>among all nations, your salvation.<br/>R.<strong> O God, let all the nations praise you!</strong><br/>or:<br/>R. <strong>Alleluia.</strong><br/>May the nations be glad and exult<br/>because you rule the peoples in equity;<br/>the nations on the earth you guide.<br/>R.<strong> O God, let all the nations praise you!</strong><br/>or:<br/>R. <strong>Alleluia.</strong><br/>May the peoples praise you, O God;<br/>may all the peoples praise you!<br/>May God bless us,<br/>and may all the ends of the earth fear him!<br/>R. <strong>O God, let all the nations praise you!</strong><br/>or:<br/>R. <strong>Alleluia.</strong><br/>
</div>","<div class=""poetry"">
R. <strong>Alleluia, alleluia.</strong><br/>I am the light of the world, says the Lord;<br/>whoever follows me will have the light of life.<br/>R. <strong>Alleluia, alleluia.</strong><br/>
</div>","<div class=""poetry"">
Jesus cried out and said,<br/>“Whoever believes in me believes not only in me<br/>but also in the one who sent me,<br/>and whoever sees me sees the one who sent me.<br/>I came into the world as light,<br/>so that everyone who believes in me might not remain in darkness. <br/>And if anyone hears my words and does not observe them,<br/>I do not condemn him,<br/>for I did not come to condemn the world but to save the world. <br/>Whoever rejects me and does not accept my words<br/>has something to judge him: the word that I spoke,<br/>it will condemn him on the last day,<br/>because I did not speak on my own,<br/>but the Father who sent me commanded me what to say and speak. <br/>And I know that his commandment is eternal life. <br/>So what I say, I say as the Father told me.”</div>"
2019-05-14,Tuesday,"<div class=""poetry"">
Peter stood up in the midst of the brothers and sisters<br/>(there was a group of about one hundred and twenty persons<br/>in the one place).<br/>He said, ""My brothers and sisters,<br/>the Scripture had to be fulfilled<br/>which the Holy Spirit spoke beforehand<br/>through the mouth of David, concerning Judas,<br/>who was the guide for those who arrested Jesus.<br/>Judas was numbered among us<br/>and was allotted a share in this ministry.<br/>For it is written in the Book of Psalms:<br/><br/><em>Let his encampment become desolate,<br/>and may no one dwell in it.</em><br/>and:<br/><em>May another take his office.</em><br/><br/>Therefore, it is necessary that one of the men <br/>who accompanied us the whole time <br/>the Lord Jesus came and went among us,<br/>beginning from the baptism of John<br/>until the day on which he was taken up from us,<br/>become with us a witness to his resurrection.""<br/>So they proposed two, Joseph called Barsabbas,<br/>who was also known as Justus, and Matthias.<br/>Then they prayed,<br/>""You, Lord, who know the hearts of all,<br/>show which one of these two you have chosen<br/>to take the place in this apostolic ministry<br/>from which Judas turned away to go to his own place.""<br/>Then they gave lots to them, and the lot fell upon Matthias,<br/>and he was counted with the Eleven Apostles.<br/>
</div>","<div class=""poetry"">
R.(8) <strong>The Lord will give him a seat with the leaders of his people.</strong><br/>or:<br/>R.<strong> Alleluia.</strong><br/>Praise, you servants of the LORD,<br/>praise the name of the LORD.<br/>Blessed be the name of the LORD<br/>both now and forever.<br/>R. <strong>The Lord will give him a seat with the leaders of his people.</strong><br/>or:<br/>R. <strong>Alleluia.</strong><br/>From the rising to the setting of the sun<br/>is the name of the LORD to be praised.<br/>High above all nations is the LORD;<br/>above the heavens is his glory.<br/>R. <strong>The Lord will give him a seat with the leaders of his people.</strong><br/>or:<br/>R. <strong>Alleluia.</strong><br/>Who is like the LORD, our God, who is enthroned on high<br/>and looks upon the heavens and the earth below?<br/>R. <strong>The Lord will give him a seat with the leaders of his people.</strong><br/>or:<br/>R. <strong>Alleluia.</strong><br/>He raises up the lowly from the dust;<br/>from the dunghill he lifts up the poor<br/>To seat them with princes,<br/>with the princes of his own people.<br/>R. <strong>The Lord will give him a seat with the leaders of his people.</strong><br/>or:<br/>R. <strong>Alleluia.</strong><br/>
</div>","<div class=""poetry"">
R. <strong>Alleluia, alleluia.</strong><br/>I chose you from the world,<br/>to go and bear fruit that will last, says the Lord.<br/>R. <strong>Alleluia, alleluia.</strong><br/>
</div>","<div class=""poetry"">
Jesus said to his disciples:<br/>""As the Father loves me, so I also love you.<br/>Remain in my love.<br/>If you keep my commandments, you will remain in my love,<br/>just as I have kept my Father's commandments<br/>and remain in his love.<br/><br/>""I have told you this so that my joy might be in you<br/>and your joy might be complete.<br/>This is my commandment: love one another as I love you.<br/>No one has greater love than this,<br/>to lay down one's life for one's friends.<br/>You are my friends if you do what I command you.<br/>I no longer call you slaves,<br/>because a slave does not know what his master is doing.<br/>I have called you friends,<br/>because I have told you everything I have heard from my Father.<br/>It was not you who chose me, but I who chose you<br/>and appointed you to go and bear fruit that will remain,<br/>so that whatever you ask the Father in my name he may give you.<br/>This I command you:  love one another.""<br/>
</div>"
